"follow","〜（の後）に続く<br>〈指示・方針など〉<br>に従う","follow her advice<br>彼女の助言に従う"
"consider","〜を考慮する","consider the problem seriously<br>その問題を真剣に考える"
"increase","増える；〜を増やす","increase by 20 percent<br>20%増加する"
"expect","〜を予期する","expect you to arrive soon<br>君がすぐ来ることを予期する"
"decide","〜することを決意する","decide to tell the truth<br>真実を語る決意をする"
"develop","発達する;<br>〜を発達させる","develop a unique ability<br>特異な能力を発達させる"
"provide","〜を供給する,<br>与える","provide him with information<br>彼に情報を与える"
"continue","続く;<br>（〜を）続ける<br>（=go on，carry on）","continue to grow fast<br>急速に成長し続ける"
"include","〜を含む，含める","The list includes his name.<br>リストは彼の名前を含んでいる"
"remain","〈ある状態の〉<br>ままでいる","remain silent<br>黙ったままでいる"
"reach","〜に着く<br>（=arrive at）;<br>〜に達する","reach the mountain top<br>山頂に達する"
"allow","〜を許可する","allow him to go out<br>彼に外出を許可する"
"force","〜を強制する","be forced to leave<br>立ち退きを強制される"
"offer","〜を申し出る","offer help to the poor<br>貧しい人に援助を申し出る"
"realize","〜を悟る","realize the error<br>その間違いを悟る"
"require","〜を必要とする<br>（=need）","require more attention<br>もっと注意を必要とする"
"suggest","〜と提案する<br>〜をほのめかす","suggest a new way<br>新しいやり方を提案する"
"worry","心配する","worry about money<br>お金のことを心配する"
"wonder","（+wh/if節）<br>〜かと疑問に思う","wonder where he has gone<br>彼はどこに行ったのかと思う"
"cost","〈費用〉を要する","The car cost me $50,000.<br>その車には5万ドルかかった。"
"tend","（tend to V)<br>Vする傾向がある,<br>Vしがちである<br>","tend to get angry<br>腹を立てがちである"
"depend","（depend on A）<br>Aに依存する,<br>Aしだいで決まる","Everything depends on him.<br>すべては彼しだいだ。"
"share","〜を分け合う,<br>共有する","share the room with a friend<br>友人と部屋を共有する"
"demand","〜を要求する","demand more money<br>さらに金を要求する"
"support","〜を支持する<br>〈家族など〉を養う<br>〜を立証する","support the President<br>大統領を支持する"
"hire","〜を雇う","limit the speed<br>速度を制限する"
"regard","（regard A as B)<br>AをBだと思う,<br>みなす","regard him as a friend<br>彼を友達とみなす"
"base","(A be based on B)<br>AがBに<br>基づいている","This story is based on fact.<br>この話は事実に基づいている。"
"improve","〜を向上させる","improve my English ability<br>英語力を向上させる"
"recognize","〜を認める","recognize the importance<br>重要性を認める"
"notice","〜に気づく","notice the color change<br>色彩の変化に気づく"
"suppose","〜だと思う","be supposed to wear a seat belt<br>シートベルトを締めることになっている"
"raise","〜を上げる<br>〜を育てる（=bring up)<br>〈問題など〉を提起する<br>［名］賃上げ(=pay raise)","raise three children<br>3人の子供を育てる"
"prefer","〜をより好む","prefer tea to coffee<br>コーヒーよりお茶を好む"
"enter","〈場所・学校〉<br>に入る","enter college at fifteen<br>15歳で大学に入る"
"suffer","〈苦痛・損害など〉<br>を経験する，受ける;<br>（病気などで）苦しむ","suffer heavy damage<br>ひどい損害を受ける"
"describe","〜を描写する,<br>〜の特徴を説明する","describe the lost bag<br>なくしたバッグの特徴を言う"
"prevent","〜をさまたげる","prevent him from going out<br>彼が外出するのをさまたげる"
"reduce","〜を減らす","reduce weight<br>体重を減らす"
"mistake","〜を誤解する,<br>まちがえる","mistake salt for sugar<br>塩を砂糖と間違える"
"prepare","（〜の）準備をする<br>（+for)","prepare a room for a guest<br>客のために部屋を準備する"
"encourage","〈人を〉はげます","encourage children to read<br>子供に読書をすすめる"
"prove","〜だとわかる<br>(=turn out)<br>〜を証明する","prove to be true<br>本当だとわかる"
"join","〜に参加する<br>(=take part in)","join the baseball club<br>野球部に入る"
"treat","〜をあつかう","treat him like a child<br>彼を子どものように扱う"
"establish","〜を確立する,<br>設立する<br>(=found)","establish a new company<br>新会社を設立する"
"relate","関係がある","stress-related illness<br>ストレスと関係のある病気"
"compare","〜を比較する<br>〜をたとえる","compare Japan with China<br>日本と中国を比較する"
"spread","〜を広げる;<br>広がる","spread the tablecloth<br>テーブルクロスを広げる"
"refer","(refer to A)<br>Aを指示する","What does this word refer to?<br>この語は何を指示するか"
