"associate","(associate A with B)\r\nAをBに関連づける,\r\nAからBを連想する","Red is associated with danger.\r\n赤は危険と結びつけられる"
"rush","急いで行く","rush into the hospital\r\n病院へ急いで行く"
"stress","〜を強調する","stress the need for information\r\n情報の必要性を強調する"
"attract","〈人・注意〉\r\nを引きつける","attract his attention\r\n彼の注意を引きつける"
"rely ","(rely on［upon］A)\r\nAに頼る","rely on their power\r\n彼らの力に頼る"
"respond","(respond to A)\r\nAに返答する","respond to questions\r\n質問に答える"
"threaten","〜を脅迫する","threaten to kill the girl\r\nその娘を殺すと脅迫する"
"adopt","〈理論・技術など〉\r\nを採用する","adopt a new system\r\n新しいシステムを採用する"
"shake","〜を振る","shake the bottle well\r\nビンをよく振る"
"hurt","〜を傷つける","hurt her feelings\r\n彼女の気持を傷つける"
"operate","〈機械などが〉作動する\r\n〈機械など〉を操作する\r\n手術する(+on)","operate a computer with a mouse\r\nマウスでコンピュータを操作する"
"extend","〜を広げる，延長する","extend my stay for two days\r\n滞在を二日延長する"
"blame","〜を非難する,\r\n〜のせいにする","blame others for the failure\r\n失敗を他人のせいにする"
"consist","(consist of A)\r\nAで構成されている","The book consists of six lessons.\r\nその本は6課で構成されている。"
"persuade","〜を説得する","persuade them to go back\r\n彼らを説得して帰らせる"
"admire","〜に感心する","admire her English ability\r\n彼女の英語力に感服する"
"disappoint","〜を失望させる","be disappointed with the test results\r\n試験の結果に失望する"
"expand","（〜を）拡大する","expand the market\r\n市場を拡大する"
"preserve","〜を保護する,\r\n〜を保つ","preserve forests\r\n森林を保護する"
"struggle","苦闘する，もがく","struggle to get free\r\n自由になろうともがく"
"arrange","〈会合など〉の\r\n手はずを整える\r\n〜を配列する\r\n","arrange the meeting\r\n会議の手はずを整える"
"disturb","〈人・仕事など〉\r\nをさまたげる\r\n(=interrupt)","disturb his sleep\r\n彼の睡眠を妨げる"
"employ","〜を雇う\r\n〈方法・言葉など〉\r\nを用いる(=use)","employ her as a typist\r\nタイピストとして彼女を雇う"
"engage","(engage in A)\r\nA（仕事・活動など）\r\nに従事する,\r\nAを行う","engage in volunteer activities\r\nボランティア活動に従事する"
"abandon","〜を捨てる","an abandoned child\r\n捨てられた子供"
"display","〜を展示する;\r\n〜を表す","display a talent\r\n才能を誇示する"
"encounter","〜に偶然出会う","encounter many difficulties\r\n数々の困難に出会う"
"exhaust","〈人〉を疲れはてさせる","be too exhausted to speak\r\n口もきけないほど疲れはてている"
"bother","〈人〉に面倒をかける,\r\n困らせる\r\n（〜を）気にする","I don""t want to bother you.\r\nあなたを困らせたくない"
"concentrate","集中する","concentrate on what he is saying\r\n彼の話に集中する"
"adapt","〜を適応させる,\r\n適応する","adapt to the change\r\n変化に適応する"
"puzzle","〜を当惑させる\r\n(=confuse)","be puzzled by the problem\r\nその問題に頭を悩ませる"
"appeal","(appeal to A)\r\nA〈理性・感情など〉に訴える\r\n〈人〉を引きつける\r\n［名］魅力","appeal to feelings\r\n感情に訴える"
"combine","〜を結合させる","combine music and drama\r\n音楽と演劇を結合させる"
"delay","〜を遅らせる","delay his arrival\r\n彼の到着を遅らせる"
"repair","〜を修理する","repair the car\r\n車を修理する"
"fascinate","〈人〉を夢中にさせる","a fascinating voice\r\n魅力的な声"
"devote","〜をささげる","He devoted himself to his work.\r\n彼は仕事に身をささげた。"
"import","〜を輸入する","cars imported from America\r\nアメリカから輸入された車"
"remark","（〜と）述べる","remark that he is kind\r\n彼は親切だと述べる"
"reserve","〜を予約する,\r\n〜を取っておく\r\n(=set aside)","reserve a room at a hotel\r\nホテルの部屋を予約する"
"amaze","〜を驚嘆させる","amazing speed\r\n驚異的な速さ"
"frighten","〈人〉をおびえさせる","be frightened of death\r\n死を恐れる"
"release","〜を解放する\r\n〜を発表する","release him from work\r\n仕事から彼を解放する"
"rent","〈家・車など〉\r\nを賃借りする","rent an apartment\r\nアパートを借りる"
"recover","(recover from A)\r\nA（病気など）から\r\n回復する","recover from illness\r\n病気から回復する"
"suspect","〜ではないかと思う\r\n(=suppose)\r\n〈人・もの〉を疑う","suspect him of being a spy\r\n彼をスパイではないかと疑う"
"deliver","〜を配達する，渡す\r\n〈講義など〉をする","deliver a message to a friend\r\n友達に伝言を渡す"
"identify","〜の正体をつきとめる,\r\n(identify with A)\r\nAと共感する","identify the body\r\n死体の身元を確認する"
"locate","（be located in\r\n［on,at］A)\r\n（Aに）位置する","The office is located in the area.\r\nオフィスはその地域にある"
