"manufacture","〜を製造する","a car manufacturing company\r\n車を製造する会社"
"occupy","〈場所・地位など〉\r\nを占める","occupy a good position\r\nよい地位を占める"
"own","〜を所有している","own five cars\r\n5台の車を所有している"
"expose","（expose A to B)\r\nAをBにさらす","expose the skin to sunlight\r\n日光に肌をさらす"
"conclude","〜と結論づける","conclude that he was killed\r\n彼は殺されたという結論を下す"
"cure","〜を治療する","cure him of his cold\r\n彼のカゼを治す"
"perceive","〜を知覚する","perceive danger\r\n危険に気づく"
"ban","（公式に）\r\n〜を禁止する","freeze to death\r\n凍えて死ぬ"
"alarm","〜をぎょっとさせる,\r\nおびえさせる(=scare)","The noise alarms the dog.\r\nその音が犬をおびえさせる。"
"derive","由来する\r\n","This word derives from Latin.\r\nこの語はラテン語に由来する。"
"neglect","〜を無視する，怠る\r\n〈子供など〉の\r\n世話をしない","neglect human rights\r\n人権を無視する"
"adjust","〈環境に〉慣れる\r\n（=adapt),\r\n調節して合わせる","adjust to a new school\r\n新しい学校に慣れる"
"shift","〜を変える","shift gears\r\nギアを変える"
"embarrass","〜を困惑させる,\r\n〜に恥ずかしい\r\n思いをさせる","be embarrassed about the mistake\r\nその間違いが恥ずかしい"
"approve","〜を承認する","approve of their marriage\r\n二人の結婚を承認する"
"commit","〈罪など〉を犯す","commit a serious error\r\n重大な誤りを犯す"
"stretch","〜を広げる","stretch my legs\r\n足を広げる"
"participate","(participate in A)\r\nAに参加する","participate in the meeting\r\nその会議に参加する"
"impose","(impose A on B)\r\nAをBに課す,\r\n押しつける","impose rules on students\r\n学生に規則を押しつける"
"owe","(owe A to B)\r\nAことはBのおかげだ","I owe my success to you.\r\n私の成功は、あなたのおかげだ。"
"celebrate","〈特定の日・できごと〉\r\nを祝う","celebrate his birthday\r\n彼の誕生日を祝う"
"emerge","〈隠れていたものが〉\r\n現れる(=appear)","A new problem has emerged.\r\n新たな問題が出現した"
"urge","〜に強く迫る,\r\n〜を説得する","urge him to stop smoking\r\n禁煙するよう彼を説得する"
"seat","(be seated)\r\n座っている","be seated on the bench\r\nベンチで座っている"
"injure","〜を傷つける","be injured in the accident\r\nその事故で負傷する"
"imply","〜を（暗に）\r\n意味する","What does her smile imply?\r\n彼女の微笑は何を意味するのか。"
"explain","〜を説明する","`explain` the answer to students\r\n学生に答を説明する"
"accept","〜を受け入れる","accept the truth as it is\r\nありのまま事実を受け入れる"
"produce","〜を生産する\r\n〜を作る","produce a new car model\r\n新型車を生産する"
"exist","存在する","Does God really exist?\r\n神は本当に存在するのか。"
"occur","起こる(=happen)","This problem often occurs.\r\nこの問題はしばしば起こる"
"express","〜を表現する\r\n［名］急行","express my true feelings\r\n本当の気持ちを表現する"
"add","(add A to B)\r\nBにAを加える\r\n〈言葉を〉付け加える","add some milk to the soup\r\nスープにミルクを加える"
"avoid","〜を避ける","avoid meeting people\r\n人に会うのを避ける"
"marry","〜と結婚する","marry Mary\r\nメアリと結婚する"
"protect","(protect A from B)\r\nBからAを守る","protect children from danger\r\n危険から子供たちを守る"
"affect","〜に影響する\r\n(=influence)","Alcohol affects the brain.\r\nアルコールは脳に影響する。"
"determine","〜を決定する\r\n決心する\r\n(=decide)","determine your future\r\n君の未来を決定する"
"solve","〜を解決する","solve the problem\r\n問題を解決する"
"contain","〜を含んでいる\r\n〈SにO〉が入っている","This book contains 2000 words.\r\nこの本には2000の単語が入っている."
"discuss","〜を議論する\r\n(=talk about)","discuss the problem with him\r\n彼とその問題を議論する"
"ignore","〜を無視する","ignore the doctor""s advice\r\n医者の忠告を無視する"
"guess","〜を推測する\r\n〜と考える\r\n(=suppose)","guess how old she is\r\n彼女の年を推測する"
"exchange","(exchange A for B)\r\nAをBに交換する","exchange yen for dollars\r\n円をドルに交換する"
"satisfy","〜を満たす\r\n〜を満足させる","satisfy the needs of students\r\n学生の要求を満たす"
"complain","(complain about A)\r\nAのことで苦情を言う","complain about the noise\r\n騒音のことで苦情を言う"
"achieve","〜を達成する","finally achieve the goal\r\nついに目標を達成する"
"enable","（A enable B to do)\r\nAのおかげで\r\nBは〜できる","Cars enable us to move freely.\r\n車は自由な移動を可能にする"
"intend","(intend to V)\r\n〜するつもりだ\r\n〜を意図する","intend to live in America\r\nアメリカに住むつもりだ"
"obtain","〜を得る","obtain information about him\r\n彼に関する情報を得る"
