2の補数,2 進数のビット列の全ビットを逆転し，1 を加算した値。
逆ポーランド表記法,オペランドの後に演算子を配置する方式で数式を表現する表記法。
チェックディジット,バーコードなどの数字列の各けたの値から計算した誤り制御用の数値。
否定,論理演算の一種。入力した論理値が 0 なら 1，1 なら 0 を結果とする。
論理積,論理演算の一種。二つの論理値が両方１なら１，それ以外なら 0 を結果とする。
論理和,論理演算の一種。二つの論理値が両方 0 なら 0，それ以外なら 1 を結果とする。
2分探索,探索範囲を半分ずつ減らしながら目的のデータを探索する方法。
2分探索木,親より小さい値のノードが左部分木に，大きい値のノードが右部分木に配置される木。
Ajax,JavaScript の機能を流用して，非同期でサーバにアクセスする技法。
XML,利用者が独自に定義したタグを用いることができるマークアップ言語。
キュー,最初に格納したデータが最初に取り出される，待ち行列のようなデータ構造。
クイックソート,データを，指標値未満と指標値以上のものに分割しながら整列するアルゴリズム。
スタック,最後に格納したデータが最初に取り出される形式のデータ構造。
ポインタ,変数や配列要素の格納位置 ( アドレス ) を格納する特殊な変数。
リスト,ポインタを用いて複数の要素を接続し，順次アクセスを可能にしたデータ構造。
MIPS,CPU が１秒間に実行できる命令数を百万単位で表したもの。
PCM,標本化・量子化・符号化によって，アナログデータをディジタルデータに変換する方法。
外部割込み,実行中のプログラムとは関係のない外部要因によって発生する割込み。
間接アドレス指定,レジスタが示す番地に格納された値を，参照データの格納アドレスとする指定方式。
キャッシュメモリ,CPU とメモリのアクセス速度の差を埋めるために用いられる高速のメモリ。
内部割込み,実行中のプログラムと関連する要因 ( 0 による除算など ) で発生する割込み。
プラズマディスプレイ,放電によって発光する素子を利用したディスプレイ装置。
フラッシュメモリ,電源供給がなくてもデータを保持できる半導体メモリの記憶媒体。
メモリインタリーブ,複数の単位に分割したメモリに同時並行的にアクセスする高速化技術。
MTBF,システムや機器が一度故障してから次に故障するまでの時間の平均。平均故障間隔。
MTTR,故障したシステムや機器を修復するまでに要する時間の平均。平均修理時間。
ウォームスタンバイ,待機系は OS を起動した状態で待機させ，障害発生時にシステムを起動させる障害対策。
稼働率,システムや機器が正常に動作する確率。MTBF ÷ ( MTBF + MTTR ) で表す。
可用性,システムや機器を，必要なときに利用できる度合い。
キャパシティプランニング,システムのキャパシティ ( 最大処理能力 ) を管理し，必要に応じて増強を行うこと。
クライアントサーバシステム,クライアント ( 処理の依頼者 ) とサーバ ( 処理の実行者 ) から構成されるシステム。
コールドスタンバイ,待機系は電源を切った状態で待機させ，障害発生時に電源をオンする障害対策。
信頼性,システムを故障させず，できる限り長い時間継続して運用できることを表す度合い。
スラッシング,メモリと仮想記憶との間でページ交換が多発し，処理が遅延すること。
スループット,システムが単位時間内に処理できる仕事の量。
ターンアラウンドタイム,システムに処理要求を入力してから，処理結果の出力が完了するまでの時間。
デュアルシステム,複数のシステムが同じ処理を行い，お互いの処理結果を照合する形式の障害対策。
フールプルーフ,誤操作しても大事に至らないようにするため，不要な操作を実行できなくすること。
フォールトトレラント,障害が発生してもシステムの運用を継続できるようにするための障害対策。
ホットスタンバイ,待機系はシステムを起動した状態で待機させ，障害発生時に即座に切り替える障害対策。
リアルタイムOS,リアルタイムシステムに必要な即時性や割込み機能などを備えた OS。
LRU,仮想記憶において，最終参照時刻が最も古いページを優先して入れ替える方式。
オープンソースソフトウェア,ソースコードの使用，改良などを自由に行えるソフトウェア。
仮想記憶,補助記憶装置を，大容量の主記憶装置と見なして利用する記憶管理方式。
コンパイラ,ソースコードを翻訳して，機械語で記述された目的プログラムを作成するプログラム。
メモリリーク,プログラムが確保した主記憶領域が解放されないままになり，主記憶容量が減ること。
7 セグメント LED,7 つの LED で構成される，アラビア数字を出力するための装置。
DRAM,大容量・低速・安価な記憶素子で，主記憶装置を構成するために用いられる。
半加算器,二つの論理値を入力すると，結果と桁上がりの論理値を出力する回路。
フリップフロップ,リフレッシュを行わなくても、内部に値を保持できる論理回路。
GUI,アイコンなどを用いて，利用者が直感的に操作できるようにしたユーザインタフェース。
CSS,Web ージの外観 ( 文字色，余白など ) を指定するための仕組み。
アンチエイリアシング,描線の外枠に中間色のドットを配置し，画像のぎざつきを目立たなくする技法。
クリッピング,画像全体から指定した範囲の画像情報だけを切り抜いて表示すること。
サンプリング,アナログ音声の音の強さを一定の間隔で取得すること。標本化。
モーフィング,物体の形状を，滑らかに別の形状に変化させていくコンピュータグラフィックス技術。
CREATE VIEW,仮想的なテーブル ( ビュー ) を作成するための SQL 文。
SELECT,SQL 文の一種で，関係データベースのテーブルの検索を行う。
SQL,関係データベースのテーブルの検索などを行うために用いられる言語。
外部キー,他のテーブルの主キーを参照する列のこと。
関係データベース,行と列から構成されるテーブル ( 表 ) を用いて，データを格納するデータベース。
共有ロック,他のプログラムからのデータの読込は許可し，更新は拒否するデータのロック手法。
結合,二つ以上の表を結びつけて一つの新しい表を作る操作。
射影,関係データベースのテーブルの特定の列だけを取り出す操作。
主キー,テーブルの各行を一意に識別するための列，または複数の列の組。
正規形,データの重複を排除して，適切な構成にした関係データベースのテーブルのこと。
選択,関係データベースのテーブルの特定の行だけを取り出す操作。
専有ロック,他のプログラムからのデータの読込・更新を拒否するデータのロック手法。
挿入,テーブルに新しい行を挿入する操作。
多重度,あるテーブルの行に，別のテーブルの行が対応する行数のこと。
排他制御,ある処理が参照・更新中のデータを，他の処理から参照できないようにする制御。
ビュー,一つまたは複数のテーブルの内容を用いて作成した仮想的なテーブル。
ロールバック,トランザクションがテーブルに対して実行した更新を無効にすること。
ログファイル,システムへの操作や出力結果などの情報を時系列で記録したファイル。
CGI,Web サーバにおいて，各種処理を行うプログラムを稼働させるための仕組み。
FTP,ファイル転送プロトコル。任意のファイルをインターネット経由で送受信できる。
FTTH,光ファイバ回線を利用したインターネット接続方式。
IPアドレス,ネットワークに接続する機器を一意に識別するためのアドレス。
MACアドレス,ネットワークに接続するための装置やカードに，物理的に書き込まれたアドレス。
MIME,電子メールを用いてバイナリデータを送受信するための規格。
NAPT,一つのグローバルアドレスに複数のプライベートアドレスとの相互変換を行う技術。
NTP,インターネット上で正確な時刻を取得するためのプロトコル。
POP3,メールソフトが，メールサーバからメールを受信するためのプロトコル。
UDP,トランスポート層に属するコネクションレス型プロトコル。
イーサネット,より対線などを媒体とする LAN の構成方式。CSMA / CD 方式で衝突を検知する。
サブネット,ネットワークを，より小さい規模の複数のネットワークに分割したもの。
ネットワーク層,OSI 基本参照モデルの第 3 層。ネットワーク間の経路選択などを管理する。
ブリッジ,データリンク層レベルで二つのネットワークを接続するネットワーク接続機器。
リピータ,物理層レベルで複数の機器を接続するネットワーク接続機器。
ルータ,ネットワーク層レベルで複数のネットワークを接続するネットワーク接続機器。
BYOD,従業員が，個人所有の携帯端末を職場に持ち込んで使用すること。
HTTPS,HTTP に暗号化・認証機能を追加したセキュリティプロトコル。
S/MIME,公開鍵暗号方式を利用し，電子メール上で暗号化・認証を行うためのプロトコル。
SQLインジェクション,不正な SQL 文を作成して Web サーバに送り込み，誤動作をさせる攻撃手法。
WAF,Web アプリケーションの脆弱性を付く攻撃を防御するための機器。
公開鍵,公開鍵暗号方式で用いられる，ネットワーク全体に公開して誰でも使用できる鍵。
公開鍵暗号方式,受信者の公開鍵で暗号化し、受信者の秘密鍵で復号する暗号方式。
