"undermine","〜を弱める",,,,,,,
"suck","〜を吸う",,,,,,,
"pledge","〜を誓う
［名］誓約，誓い",,,,,,,
"intrude","(intrude on A)
Aに立ち入る
じゃまする，侵入する",,,,,,,
"sue","〜を訴える",,,,,,,
"rot","腐敗する
［名］腐敗(=decay)",,,,,,,
"extinguish","〜を消す",,,,,,,
"perplex","〜を困らせる,
困惑させる
(=puzzle)",,,,,,,
"curb","〜を抑制する
［名］歩道の縁石",,,,,,,
"withstand","〜に耐える
〜に対抗する",,,,,,,
"expel","(expel A from B)
AをBから追放する
〜を退学させる",,,,,,,
"recite","〜を暗唱する
〜を声に出して言う",,,,,,,
"glitter","輝く",,,,,,,
"plead","(plead with A)
Aに嘆願する",,,,,,,
"contemplate","〜を考える
(=consider)
〜しようと考える",,,,,,,
"discharge","〜を放出する
〜を解任する",,,,,,,
"preach","説教する
〜を説く",,,,,,,
"rattle","〜をがたがた鳴らす",,,,,,,
"retrieve","〜を検索する
〜を取り戻す",,,,,,,
"shrug","〜をすくめる",,,,,,,
"evoke","〜を呼び起こす
〈記憶・感情〉
を喚起する",,,,,,,
"haunt","〈人〉につきまとう",,,,,,,
"disguise","〜を隠す
(=hide，conceal)",,,,,,,
"flatter","〜におせじを言う
〜をほめて喜ばせる",,,,,,,
"prose","散文
(⇔verse)",,,,,,,
"germ","細菌
病原体",,,,,,,
"thermometer","温度計",,,,,,,
"province","州
地方",,,,,,,
"masterpiece","傑作",,,,,,,
"revenue","収入
(=income)
(⇔expenditure)",,,,,,,
"riot","暴動，騒動
［動］暴動を起こす",,,,,,,
"breakthrough","(breakthrough in A)
Aの飛躍的進歩
急進展",,,,,,,
"apparatus","装置
器具；器官",,,,,,,
"fuss","(make a fuss about A)
Aのことで大騒ぎする",,,,,,,
"deficiency ","欠乏
欠点，欠陥",,,,,,,
"heir","(heir to A)
Aの相続人",,,,,,,
"equator","赤道",,,,,,,
"petroleum ","石油",,,,,,,
"certificate","証明書
免許状",,,,,,,
"vapor","蒸気
水蒸気
(=water vapor)",,,,,,,
"probe","探査機
調査
［動］〜を調査する",,,,,,,
"doctrine","教義
(政策上の)主義",,,,,,,
"scorn
","軽蔑
［動］〜を軽蔑する
(=despise)",,,,,,,
"prophet","預言者
予言者",,,,,,,
"breeze","そよ風",,,,,,,
"pavement","歩道
(=sidewalk)",,,,,,,
"ornament","飾り",,,,,,,
"spouse","配偶者
結婚相手，夫，妻",,,,,,,
"wrinkle","しわ",,,,,,,
"queue","列
［動］列を作って待つ
(=wait in line)",,,,,,,
