follow her advice	彼女の助言に従う
consider the problem seriously	その問題を真剣に考える
increase by 20 percent	20%増加する
expect you to arrive soon	君か?すく?来ることを予期する
decide to tell the truth	真実を語る決意をする
develop a unique ability	特異な能力を発達させる
provide him with information	彼に情報を与える
continue to grow fast	急速に成長し続ける
The list includes his name.	リストは彼の名前を含んて?いる
remain silent	黙ったままて?いる
reach the mountain top	山頂に達する
allow him to go out	彼に外出を許可する
be forced to leave	立ち退きを強制される
offer help to the poor	貧しい人に援助を申し出る
realize the error	その間違いを悟る
require more attention	もっと注意を必要とする
suggest a new way	新しいやり方を提案する
worry about money	お金のことを心配する
wonder where he has gone	彼はと?こに行ったのかと思う
"The car cost me $50,000"	その車には5万ト?ルかかった。
tend to get angry	腹を立てか?ちて?ある
Everything depends on him.	すへ?ては彼した?いた?。
share the room with a friend	友人と部屋を共有する
demand more money	さらに金を要求する
support the President	大統領を支持する
limit the speed	速度を制限する
regard him as a friend	彼を友達とみなす
This story is based on fact.	この話は事実に基つ?いている。
improve my English ability	英語力を向上させる
recognize the importance	重要性を認める
notice the color change	色彩の変化に気つ?く
be supposed to wear a seat belt	シートヘ?ルトを締めることになっている
raise three children	3人の子供を育てる
prefer tea to coffee	コーヒーよりお茶を好む
enter college at fifteen	15歳て?大学に入る
suffer heavy damage	ひと?い損害を受ける
describe the lost bag	なくしたハ?ック?の特徴を言う
prevent him from going out	彼か?外出するのをさまたけ?る
reduce weight	体重を減らす
mistake salt for sugar	塩を砂糖と間違える
prepare a room for a guest	客のために部屋を準備する
encourage children to read	子供に読書をすすめる
prove to be true	本当た?とわかる
join the baseball club	野球部に入る
treat him like a child	彼を子と?ものように扱う
establish a new company	新会社を設立する
stress-related illness	ストレスと関係のある病気
compare Japan with China	日本と中国を比較する
spread the tablecloth	テーフ?ルクロスを広け?る
What does this word refer to?	この語は何を指示するか
supply the city with water	その都市に水を供給する
gain useful knowledge	有益な知識を得る
destroy the Berlin Wall	ヘ?ルリンの壁を破壊する
apply the rule to every case	全ての場合に規則をあてはめる
seek help from the police	警察に助けを求める
search for the stolen car	盗難車を捜す
He claims that he saw a UFO.	彼はUFOを見たと主張する
draw a map	地図を描く
introduce you to my friend	友人に君を紹介する
refuse to kiss him	彼にキスするのを拒む
Never mention it again.	二度とそのことを口にするな
judge a person by his looks	人を外見て?判断する
A typhoon is approaching Japan.	台風か?日本に接近している
admit a mistake	誤りを認める
reflect the mood of the times	時代の気分を反映する
perform the work	仕事を遂行する
a very boring movie	すこ?く退屈な映画
survive in the jungle	シ?ャンク?ルて?生き残る
Words represent ideas.	言葉は考えを表す。
argue that he is wrong	彼は間違っていると主張する
take freedom for granted	自由を当然と考える
The data indicate that he is right.	テ?ータは彼か?正しいことを示している
He belongs to the CIA.	彼はCIAに属している
acquire a language	言語を習得する
reply to his letter	彼の手紙に返事をする
feed a large family	大せ?いの家族を養う
escape from the problem	問題から逃避する
replace the old system	古い制度に取って代わる
reveal a surprising fact	驚くへ?き事実を明らかにする
Japan is surrounded by the sea.	日本は海に囲まれている
The job suits you.	その仕事は君に合っている
the estimated population of Japan	日本の推定人口
aim at the target	標的をねらう
earn money for the family	家族のためにお金をかせく?
My memory began to decline.	記憶力か?低下し始めた
can't afford to buy a Ford	フォート?の車を買う余裕か?ない
be confused by her anger	彼女の怒りに当惑する
graduate from high school	高校を卒業する
vary from country to country	国によって変わる
remove the cover	カハ?ーを取り除く
insist on going there alone	一人て?そこに行くと言い張る
examine every record	あらゆる記録を調へ?る
remind him of the promise	彼に約束を思い出させる
contribute to world peace	世界平和に貢献する
warn him of the danger	彼に危険を警告する
connect Honshu with Shikoku	本州と四国をつなく?
match him in power	力て?彼に匹敵する
focus on the topic	その話題に焦点を合わせる
reject the proposal	提案を拒否する
convince him of our success	彼に成功を確信させる
Red is associated with danger.	赤は危険と結ひ?つけられる
rush into the hospital	病院へ急いて?行く
stress the need for information	情報の必要性を強調する
attract his attention	彼の注意を引きつける
rely on their power	彼らの力に頼る
respond to questions	質問に答える
threaten to kill the girl	その娘を殺すと脅迫する
adopt a new system	新しいシステムを採用する
shake the bottle well	ヒ?ンをよく振る
hurt her feelings	彼女の気持を傷つける
operate a computer with a mouse	マウスて?コンヒ?ュータを操作する
extend my stay for two days	滞在を二日延長する
blame others for the failure	失敗を他人のせいにする
The book consists of six lessons.	その本は6課て?構成されている。
persuade them to go back	彼らを説得して帰らせる
admire her English ability	彼女の英語力に感服する
be disappointed with the test results	試験の結果に失望する
expand the market	市場を拡大する
preserve forests	森林を保護する
struggle to get free	自由になろうともか?く
arrange the meeting	会議の手はす?を整える
disturb his sleep	彼の睡眠を妨け?る
employ her as a typist	タイヒ?ストとして彼女を雇う
engage in volunteer activities	ホ?ランティア活動に従事する
an abandoned child	捨てられた子供
display a talent	才能を誇示する
encounter many difficulties	数々の困難に出会う
be too exhausted to speak	口もきけないほと?疲れはてている
I don't want to bother you.	あなたを困らせたくない
concentrate on what he is saying	彼の話に集中する
adapt to the change	変化に適応する
be puzzled by the problem	その問題に頭を悩ませる
appeal to feelings	感情に訴える
combine music and drama	音楽と演劇を結合させる
delay his arrival	彼の到着を遅らせる
repair the car	車を修理する
a fascinating voice	魅力的な声
He devoted himself to his work.	彼は仕事に身をささけ?た。
cars imported from America	アメリカから輸入された車
remark that he is kind	彼は親切た?と述へ?る
reserve a room at a hotel	ホテルの部屋を予約する
amazing speed	驚異的な速さ
be frightened of death	死を恐れる
release him from work	仕事から彼を解放する
rent an apartment	アハ?ートを借りる
recover from illness	病気から回復する
suspect him of being a spy	彼をスハ?イて?はないかと疑う
deliver a message to a friend	友達に伝言を渡す
identify the body	死体の身元を確認する
The office is located in the area.	オフィスはその地域にある
a car manufacturing company	車を製造する会社
occupy a good position	よい地位を占める
own five cars	5台の車を所有している
expose the skin to sunlight	日光に肌をさらす
conclude that he was killed	彼は殺されたという結論を下す
cure him of his cold	彼のカセ?を治す
perceive danger	危険に気つ?く
freeze to death	凍えて死ぬ
The noise alarms the dog.	その音か?犬をおひ?えさせる。
This word derives from Latin.	この語はラテン語に由来する。
neglect human rights	人権を無視する
adjust to a new school	新しい学校に慣れる
shift gears	キ?アを変える
be embarrassed about the mistake	その間違いか?恥す?かしい
approve of their marriage	二人の結婚を承認する
commit a serious error	重大な誤りを犯す
stretch my legs	足を広け?る
participate in the meeting	その会議に参加する
impose rules on students	学生に規則を押しつける
I owe my success to you.	私の成功は、あなたのおかけ?た?。
accompany the President	大統領に同伴する
trace human history	人類の歴史をたと?る
A new problem has emerged.	新たな問題か?出現した
urge him to stop smoking	禁煙するよう彼を説得する
be seated on the bench	ヘ?ンチて?座っている
be injured in the accident	その事故て?負傷する
What does her smile imply?	彼女の微笑は何を意味するのか。
explain the answer to students	学生に答を説明する
accept the truth as it is	ありのまま事実を受け入れる
produce a new car model	新型車を生産する
Does God really exist?	神は本当に存在するのか。
This problem often occurs.	この問題はしは?しは?起こる
express my true feelings	本当の気持ちを表現する
add some milk to the soup	スーフ?にミルクを加える
avoid meeting people	人に会うのを避ける
marry Mary	メアリと結婚する
protect children from danger	危険から子供たちを守る
Alcohol affects the brain.	アルコールは脳に影響する。
determine your future	君の未来を決定する
solve the problem	問題を解決する
This book contains 2000 words.	この本には2000の単語か?入っている.
discuss the problem with him	彼とその問題を議論する
ignore the doctor's advice	医者の忠告を無視する
guess how old she is	彼女の年を推測する
exchange yen for dollars	円をト?ルに交換する
satisfy the needs of students	学生の要求を満たす
complain about the noise	騒音のことて?苦情を言う
finally achieve the goal	ついに目標を達成する
Cars enable us to move freely.	車は自由な移動を可能にする
intend to live in America	アメリカに住むつもりた?
obtain information about him	彼に関する情報を得る
divide the cake into six pieces	ケーキを6個に分割する
distinguish a lie from the truth	うそと真実を見分ける
My opinion differs from hers.	私の考えは彼女と異なる
how to educate children	子供を教育する方法
borrow a book from a friend	友た?ちから本を借りる
invent a time machine	タイムマシーンを発明する
promote economic growth	経済成長を促進する
advise him to stop drinking	酒をやめるよう彼に忠告する
Problems arise from carelessness.	不注意から問題か?生し?る
permit him to go out	彼に外出することを許す
recommend this book to you	あなたにこの本を推薦する
define a day as twenty-four hours	1日を24時間と定義する
inform him of his son's success	息子の成功を彼に知らせる
oppose their marriage	彼らの結婚に反対する
trust an old friend	古い友達を信用する
select the best answer	最良の答を選ふ?
praise him for his work	仕事のことて?彼をほめる
how to handle problems	と?う問題に対処すへ?きか
propose a new way	新しいやり方を提案する
breathe fresh air	新鮮な空気を呼吸する
criticize him for being late	遅刻したことて?彼を非難する
overcome the fear of death	死の恐怖に打ち勝つ
possess great power	大きな力を持っている
predict the future	未来を予言する
publish a book	本を出版する
purchase a new car	新しい車を買う
recall the good old days	古き良き時代を思い出す
explore the Amazon River	アマソ?ン川をを探検する
stop and stare at her	立ち止まって彼女をし?っと見る
absorb a lot of water	大量の水を吸収する
He resembles his father.	彼は父親に似ている。
tear the letter to pieces	す?たす?たに手紙を引き裂く
consume a lot of energy	多量のエネルキ?ーを消費する
compete with him for a gold medal	金メタ?ルをめさ?して彼と競争する
quit school	学校をやめる(=stop)
announce a new plan	新しい計画を発表する
react quickly to light	光に素早く反応する
wander around the streets	街を歩き回る
emphasize the difference	違いを強調する
convey a message on the Internet	インターネットて?メッセーシ?を伝える
the result of the test	テストの結果
the near-death experience	臨死体験
the problems of modern society	現代社会の問題
have trouble finding a job	仕事を見つけるのに苦労する
put a high value on education	教育に高い価値をおく
the greenhouse effect of CO2	CO2の温室効果
individuals in society	社会の中の個人
have a bad influence on children.	子供に悪い影響を与える
the meaning in this context	この文脈における意味
at the rate of 40% a year	年40%の割合て?
a sign of spring	春のきさ?し
water and gas service	水道とカ?スの公共事業
advances in science	科学の進歩
a police officer	警察官
produce new materials	新しい物質を作る
a center of heavy industry	重工業の中心地
an attempt to break the record	記録を破ろうとする試み
US trade with France	合衆国のフランスとの貿易
make progress toward peace	平和に向けて前進する
make an excuse to leave early	早く帰るための言い訳をする
the custom of tipping	チッフ?を払う習慣
Read the following passage.	次の一節を読みなさい
the market economy	市場経済
a wide range of information	広範囲の情報
a traffic accident	交通事故
a government official	政府の役人
love at first sight	一目ほ?れ
a taste of lemon	レモンの味
immigrants from Mexico	メキシコからの移民
Love your neighbor as yourself.	自分を愛するように隣人を愛せ
a doctor and a patient	医者と患者
a business project	事業計画
Would you do me a favor?	頼みをきいてもらえませんか
differ in appearance	外見か?違う
run the risk of death	死の危険をおかす
costs and benefits of the business	仕事のコストと利益
features of human language	人類の言語の特徴
their relatives and friends	彼らの親せきと友達
a mountain region	山岳地方
unique characteristics	ユニークな特徴
feel a sharp pain	鋭い痛みを感し?る
a family with two kids	二人の子供か?いる一家
on special occasions	特別な場合に
the principle of free trade	自由貿易の原則
the history department	歴史学科
It is my duty to help you.	君を助けるのか?私の義務た?
the scene of the accident	事故の現場
a scientific basis of his theory	彼の理論の科学的根拠
the spirit of fair play	フェアフ?レイの精神
the medium of communication	コミュニケーションの手段
mass production	大量生産
gather a large audience	大勢の観客を集める
the most important element	最も重要な要素
a warm climate	温暖な気候
the French revolution	フランス革命
the first quarter of this century	今世紀の最初の4分の1
a conflict between two countries	二国間の対立
a flood of cars	車の洪水
CO2 in the atmosphere	大気中の二酸化炭素
private property	私有財産
a reward for hard work	努力の報酬
national security	国家の安全保障
give a cry of delight	喜ひ?の声をあけ?る
desert a friend in the desert	砂漠て?友人を見捨てる
people from different backgrounds	経歴の違う人々
a trend toward fewer children	少子化の傾向
I am in the seventh grade.	私は7年生(=中1)て?す。
the impact of TV on children	子供に対するテレヒ?の影響
government institutions	政府の諸機関
Summer is at its height.	夏真っ盛りた?。
an alternative to sugar	砂糖の代わりになるもの
do no harm to children	子供に害をあたえない
go to a travel agency	旅行代理店に行く
man's great capacity to learn	すは?らしい人間の学習能力
the Italian foreign minister	イタリアの外務大臣
a hospital volunteer	病院て?働くホ?ランティア
have an appointment with a doctor	医者に予約してある
large quantities of data	ほ?う大な量のテ?ータ
a branch of science	科学の一分野
the proportion of boys to girls	男子と女子の比率
air transport	航空輸送
get 20% of the vote	20%の票を得る
residents of New York	ニューヨークの住民
20 square miles	20平方マイル
in a hopeless situation	希望のない状況て?
the Japanese government	日本政府
have little knowledge of English	英語の知識か?ほとんと?ない
the Asian nations	アシ?アの諸国
make every effort to help him	彼を助けようと努力する
the cold war period	冷戦時代
population growth	人口の増加
for peaceful purposes	平和的な目的て?
