"けしき","様子",,,,,,,
"かげ","光",,,,,,,
"うし","つらい",,,,,,,
"ことわり","道理",,,,,,,
"ことわる","説明する",,,,,,,
"げに","本当に",,,,,,,
"ことに","特に",,,,,,,
"あからさまなり","ちょっと
しばらくの間",,,,,,,
"そらごと","嘘",,,,,,,
"ひがごと
ひがこと","間違い",,,,,,,
"やむごとなし","身分が高い
尊い",,,,,,,
"あてなり","高貴だ・上品だ",,,,,,,
"しるし","効果・効きめ",,,,,,,
"おろかなり","いいかげんだ
不十分だ",,,,,,,
"さはれ
さばれ","どうでもいい
どうにでもなれ
ままよ",,,,,,,
"さうざうし","物足りない・心寂しい",,,,,,,
"をさをさ〜","ほとんどを〜ない",,,,,,,
"まもる","見つめる・じっとみる",,,,,,,
"としごろ","長年・数年",,,,,,,
"あまた","たくさん",,,,,,,
"かきくらす","悲しみにくれる",,,,,,,
"けしう(は)あらず","悪くはない",,,,,,,
"おとなし","大人らしい・分別がある
大人びている・大人っぽい",,,,,,,
"ときめく","時流に乗って栄える
寵愛を受ける
重用される",,,,,,,
"おこたる","病気が良くなる",,,,,,,
"あきらむ","明らかにする",,,,,,,
"とみ(なり)","急",,,,,,,
"あふ","結婚する
深い仲になる",,,,,,,
"がり","〜のところへ",,,,,,,
"くまなし","一点の曇りもない",,,,,,,
