"おどろおどろし","①はなはだしい
②恐ろしい",,,,,,,
"かしづく","①大切に世話をする
②大切に育てる",,,,,,,
"かづく","①褒美を与える
②褒美をいただく",,,,,,,
"ついで","①順序
②機会",,,,,,,
"うす","①消える・いなくなる
②死ぬ",,,,,,,
"いうなり","①優雅だ
②優れている",,,,,,,
"やうやう","①だんだん
②さまざま",,,,,,,
"ぐす","①連れて行く
②連れ添う・結婚する",,,,,,,
"しのぶ","①我慢する
②人目を避ける",,,,,,,
"こちたし","①大げさだ・仰々しい
②うるさい・わずらわしい",,,,,,,
"おこなひ","①修行
②勤行",,,,,,,
"つれづれ","①長く長く
②所在ない・手持ち無沙汰だ・退屈だ",,,,,,,
"いとほし","①いやだ
②気の毒だ",,,,,,,
"ながむ","①物思いに耽る
②朗詠する",,,,,,,
"なかなか(なり)","①中途半端だ
②むしろ・かえって",,,,,,,
"まめなり","①誠実だ・まじめだ
②実用的だ",,,,,,,
"にほひ","①美しい色
②気品・威光",,,,,,,
"をかし","①興味がある・興味深い
②美しい・かわいい
③趣深い・風流だ
④おかしい・滑稽だ",,,,,,,
"おもしろし","①興味がある・興味深い
②趣深い・風流だ
③おもしろい・滑稽だ",,,,,,,
"すずろなり","①なんとなく
②不意に
③むやみに・やたらと
④無関係だ・つまらない",,,,,,,
"おぼつかし","①はっきりしない
②不安だ・気がかりだ
③待ち遠しい",,,,,,,
"こころもとなし","①はっきりしない
②不安だ・気がかりだ
③待ち遠しい",,,,,,,
"よ
よのなか","①世間・俗世
②男女の仲
③政治",,,,,,,
"ところせし","①窮屈だ
②大げさだ・仰々しい
③威厳がある",,,,,,,
"ちぎり","①約束
②親しい仲・(男女の)深い仲
③宿命",,,,,,,
"たより","①手段
②ついで・機会
③縁語",,,,,,,
"あはれなり","感慨深い",,,,,,,
"ゆゆし","①畏れ多い
②不吉だ・縁起が悪い
③たいへんすばらしい
④たいへんひどい",,,,,,,
"いみじ","①たいへん
②たいへん〜",,,,,,,
"ものす","①いる・ある
②する",,,,,,,
"ゆかし","〜したい",,,,,,,
"たがふ","違う",,,,,,,
"わたる","移動する",,,,,,,
"さかし","①しっかりしている
②利口ぶる",,,,,,,
"え〜
〜あえず
〜かぬ","〜できない",,,,,,,
"かたし","難しい・できない",,,,,,,
"さらに〜打消
よに〜打消
よも〜打消
つゆ〜打消
ゆめ〜打消
ゆめゆめ〜打消","まったく〜できない",,,,,,,
"世を  すつ
             のがる
             そむく
          かる
             いとふ
みぐしおろす
かしらおろす","出家する",,,,,,,
"いとけなし
いときなし
いはけなし","幼い",,,,,,,
"うるさい
むつかし","わずらわしい
面倒だ
不愉快だ",,,,,,,
"うつくし
らうたし","かわいい",,,,,,,
"いそぎ
まうけ","準備",,,,,,,
"ずちなし
すべなし
〜かたなし
〜かひなし","どうしようもない
(〜しても)どうしようもない",,,,,,,
"かまし
かしまし
かしがまし
かまびすし","やかましい",,,,,,,
"らうがはし","①乱雑だ
②やかましい",,,,,,,
"さかしら
ごさかし
さかしだつ","利口ぶる(こと)",,,,,,,
"いづこ
いづら
いづち","どこ",,,,,,,
"ありし","昔(の)・過去(の)",,,,,,,
"ありつる","先ほど(の)",,,,,,,
"あらぬ","別の・違う",,,,,,,
