陽イオンと陰イオンが結びつく結合を（　　）という。,イオン結合%共有結合%水素結合%配位結合,正解：イオン結合<br>イオン結合は，陽イオンと陰イオンとの間の静電気力（またはクーロン力）で引き合って結びつく。
電荷をもつ粒子の間にはたらく力を（　　）という。,静電気力%ローレンツ力%磁力%万有引力,正解：静電気力<br>クーロン力ともいう。同符号同士の間には反発しあう力，異符号同士の間には引き合う力がはたらく。
構成している粒子が規則正しく配列している固体を（　　）という。,結晶%細胞%氷%格子,正解：結晶<br>結晶には，結合の種類によって共有結晶，金属結晶，イオン結晶，分子結晶などがある。
塩化ナトリウムの結晶は（　　）結晶である。,イオン%分子%金属%共有,正解：イオン<br>塩化ナトリウムの結晶は，Na<sup>+</sup>とCl<sup>-</sup>が規則正しく配列したイオン結晶である。
結晶のもつ規則正しい粒子の配列を結晶（　　）という。,格子%組織%配列%配置,正解：格子<br>結晶格子のくり返し構造の最小単位を単位格子という。
塩化ナトリウムの結晶は，Na<sup>+</sup>の上下前後左右をCl<sup>-</sup>が囲み接している結晶格子をしている。このとき，単位格子中にはNa<sup>+</sup>が（　　）個分含まれている。[1桁],4%1%2%3,正解：4<br>同様に単位格子中にCl<sup>-</sup>は4個分含まれている。
イオン結晶には，強い力を加えると特定の面に沿って割れやすいという性質がある。この性質を（　　）という。,へき開%断裂%潮解%分断,正解：へき開<br>結晶中の同種の電荷どうしの電気的反発力により，特定の面に沿って割れやすくなる。
物質が溶液に溶けてイオンに分解することを（　　）という。,電離%反応%分離%液化,正解：電離<br>水に溶けたときに電離する物質を電解質，電離しない物質を非電解質という。
次のうち，電解質は（　　）である。,塩化マグネシウム%エタノール%塩化銀%炭酸カルシウム,正解：塩化マグネシウム<br>塩化銀，炭酸カルシウムは水に溶けにくい（電解質にも非電解質にも含まれない）。また，ショ糖，エタノールは非電解質である。
ナトリウムイオンNa<sup>+</sup>と硫酸イオンSO<sub>4</sub><sup>2-</sup>がイオン結合した硫酸ナトリウムの組成式を正しく表したものは（　　）である。,Na<sub>2</sub>SO<sub>4</sub>%Na<sup>+</sup><sub>2</sub>SO<sub>4</sub><sup>2-</sup>%SO<sub>4</sub>Na<sub>2</sub>%2NaSO<sub>4</sub>,正解：Na<sub>2</sub>SO<sub>4</sub><br>組成式の表し方は，①陽イオンを先に，陰イオンを後に書く　②各イオンの価数は書かない　③各イオンの数を右下に書く
（　　）は，天然に岩塩として産出し，また海水中にも含まれる重要な天然資源である。,塩化ナトリウム%炭酸カルシウム%炭酸ナトリウム%塩化カルシウム,正解：塩化ナトリウム<br>塩化ナトリウムは，ナトリウムイオンNa<sup>+</sup>と塩化物イオンCl<sup>-</sup>が1:1の割合でイオン結合している。食塩として用いられる他，医療分野や工業分野で広く利用されている。
（　　）は白色の固体で，潮解性が強く乾燥剤に用いられる。また，冬期には路面の凍結防止剤としても利用される。,塩化カルシウム%炭酸ナトリウム%塩化ナトリウム%水酸化カルシウム,正解：塩化カルシウム<br>塩化カルシウムは，カルシウムイオンCa<sup>2+</sup>と塩化物イオンCl<sup>-</sup>が1:2の割合でイオン結合している。
（　　）は，石灰石や大理石，貝殻，卵の殻などの主成分である。,炭酸カルシウム%塩化ナトリウム%水酸化カルシウム%塩化カルシウム,正解：炭酸カルシウム<br>炭酸カルシウムは，カルシウムイオンCa<sup>2+</sup>と炭酸イオンCO<sub>3</sub><sup>2-</sup>が1:1の割合でイオン結合している。石灰石は石材やチョークなどに用いられる他，セメントの原料になる。
（　　）は白色の固体で潮解性を示す。ソルベー法により精製され，ガラスの製造などに用いられる。,炭酸ナトリウム%水酸化カルシウム%塩化カルシウム%塩化ナトリウム,正解：炭酸ナトリウム<br>炭酸ナトリウムは，ナトリウムイオンNa<sup>+</sup>と炭酸イオンCO<sub>3</sub><sup>2-</sup>が2:1の割合でイオン結合している。ソルベー法（またはアンモニアソーダ法）により精製される。
