人類史上最も初期に利用された金属器は（　　）である。,青銅器%土器%石器%プラスチック,正解：青銅器<br>青銅器は紀元前3500年ごろから，エジプトやメソポタミアで使用されはじめた。
石油を原料として人工的につくられる有機化合物を（　　）という。,プラスチック%ガラス%セラミックス%アルミニウム,正解：プラスチック<br>プラスチック（合成樹脂）は，成形が容易で水や薬品に強く，非常に丈夫で腐食せず長持ちする。
（　　）プラスチックは，加熱成形後に再加熱しても柔らかくならないため，耐熱性に優れ，調理器具や電化製品に利用されている。,熱硬化性%熱可塑性%メタクリル%イオン交換,正解：熱硬化性<br>フェノール樹脂や尿素樹脂，ケイ素樹脂などがある。
（　　）プラスチックは，加熱すると解けて冷えるとまた固まるため，製品のリサイクルが可能である。,熱可塑性%イオン交換%高吸水性%メタクリル,正解：熱可塑性<br>ポリエチレンやポリスチレン，アクリル樹脂，PETなどがある。
（　　）の繊維は，強度に優れ，また乾きやすくしわになりにくい性質から，ワイシャツやブラウスなどに利用されている。,ポリエステル%ポリスチレン%レーヨン%ナイロン,正解：ポリエステル<br>ペットボトルなどに利用されるPETは，使用後に繊維などへのリサイクルも進められている。
（　　）は，世界初の化学繊維で，絹に似た肌触りと光沢をもつ。,レーヨン%ナイロン%ポリエステル%アクリル,正解：レーヨン<br>「光（ray）のように美しく輝く綿（cotton）」という意味で名づけられた。
（　　）の繊維は，非常に強度に優れているため，靴下やストッキング，スポーツ用衣類に利用される他，釣り糸や登山用ロープなどにも利用されている。,ナイロン%アクリル%ポリエステル%レーヨン,正解：ナイロン<br>ナイロン66はアジピン酸とヘキサメチレンジアミンから縮合重合により得られる。カロザースがはじめて合成に成功した。
（　　）の繊維は，羊毛に似たやわらかい風合いをもち，セーターや毛布などに利用されている。,アクリル%レーヨン%ポリエステル%ポリスチレン,正解：アクリル<br>アクリロニトリルを主原料に合成される。
ケイ素や粘土などの天然の無機物質を高温で処理してつくられたものを（　　）という。,セラミックス%ジュラルミン%プラスチック%アクリル,正解：セラミックス<br>ガラスや陶磁器，セメントなどの素材がセラミックスにあたる。
ガラスや陶磁器などを製造する工業を（　　）という。,窯業%プラスチック製品工業%非鉄金属工業%化学工業,正解：窯業<br>窯は「かまど」のことである。
