あいなし,あいなしではつまらない
あかず,あかずの扉じゃもの足らない。赤ずきん着ていても嫌にならない
あからさま(なり),アからサまではついちょっと
あさまし,朝目覚ましに驚き呆れる
あそび,遊び欲しいか、缶蹴りゲンコ
あだ(なり),あーだ、浮気は無駄よ、はかないわ
あたらし,あー、たらしちゃったもったいない
あぢきなし,アッ、磁気なしバンド、つまらない
あて(なり),あてだっせ、身分が高いのは
あながち(なり),穴が小さくなる。むっ、闇だ
あはれ(なり),｢ああ晴れた｣としみじみとする
あまた,｢あまった？ たくさん｣
あやし,あっやしの実だ、いや、しいたけだ、そーまつぼっくりだ、不思議だな
あやにく(なり),亜矢憎たらしい、意地悪だ
ありがたし,ありが足し算している、めずらしい。生きづらい世の中だ
ありく,アリ食いが歩き回る
いう(なり),優子のうなり声上品ね、すばらしいわ
いかが(は)せむ,イカがせま(む)ってくる、どうしようか、どうしようもない
いかで,イカでかいのはどうして？なんとかしてよ
いかめし,イカ飯盛大、おごそかだ
いぎたなし,いびき高い梨、寝坊だ
いさ(や),｢いさ子や、おいで｣｢さぁ、どうかな｣
いそぎ,急ぎの準備
いたづら(なり),いたづらしても無駄だ、むなしい、死んじゃいたい
いつしか(＋願望表現),いつ鹿来るの？早く見たい
いとど,いいトドいっそう賢くなる
いとほし,伊藤氏は気の毒だ
いぶかし,イブ、お菓子が気掛かりよ、知りたいわ
いぶせし,井伏氏は憂鬱だ
いますがり,いー鱒狩りにいらっしゃる
いみじ,いいミジンコ、はなはだすばらしい、いやひどい
いらふ,イラフ人いらへんでも返事せい
うし,牛になるのはつらい、情けない
うしろめたし,後ろの目、確かに心配だ
うたて,歌ってみるとますますひどい、情けない
うちつけ(なり),打ち付けた顔面突然死
うつくし,うっ、つくしんぼかわいいぞ
うつつ,打つ打つイチロー現実だ
うるはし,ウールはしっかり整っている
え(～ず),えー、ずっとできないの？
おくる,おークルクル、取り残される
おこたる,おこたにあたると病気が治る
おこなふ,オー粉フリフリ仏道修行する
おとなし,おとなしい子は大人びている
おどろおどろし,踊ろ踊ろ尻ふりダンスは気味が悪くておおげさだ
おどろく,おっと六時だ、目を覚ます
おのづから,小野塚らはひょっとして偶然、自然植物園へ行った？
おはす,大橋(おーはす)巨泉でいらっしゃる、サー変
おぼす,大ーボスがお思いになる
おぼつかなし,おーボツ悲しい気掛かりだ
おほやけ,オホホ、焼けちゃった朝廷
おぼゆ,お盆の湯に似ていると自然に思われている
おぼろげ(なり),おんぼろなゲイバー、格別だ。いや普通だよ
おもて(を)ふす,表にブスは不名誉だ
おろか(なり),オー、廊下掃除いいかげん、この未熟者！
おろす,オロオロすっかり出家する
かこつ,｢カッコつけるな、お前のせいだ｣と嘆く
かしこし,カーしこしこ、非常におそれおおい
かしづく,菓子づっくりと大切に育てる
かたはらいたし,片腹痛いし、苦々しい。そばで見られて恥ずかしい
かたみに,形見にしよう、お互いに
かづく,和君潜って褒美をもらう
かなし・かなしうす,悲しい臼井君かわいい
からし,からしはつらい
かる,カール君から離れる
きこゆ,｢聞こう、ゆっくり｣｢では申し上げる｣
ぐす,ぐーすか寝たまま連れて行く、サー変
くちをし,口押し戻されて残念だ
けしからず,けしからんズラは不都合だ
けしき,毛、しきりにはみ出す様子
げに,げっ忍者。なるほど本当に
ここら・そこら,ここらにもそこらにもたくさん
こころあり,所のアリは思いやりがあって風流心がある。もののわかった奴だ
こころぐるし,所苦しそう、気の毒だ、気掛かりね
こころざし,所串刺し、それも愛情
こころづきなし,所ツキなし気に食わない
こころづくし,所ヅックシ物思う
こころにくし,所の憎しみ、なぜか奥ゆかしい
こころもとなし,所元金なし不安た、気掛かりだ
こそ～已然形、(下に続く),こそドロ、以前刑事だったけれども
ことわり(なり),｢琴割ります、ドウリャー、トゥー、全然割れない｣｢たわけー｣
なむ,なむなむしてほしい
こまやか(なり),コマ屋が詳しい、上品で愛情が深い
ねんごろ(なり),粘土ゴロゴロていねいだ
さうざうし,想像したら寂しいです
ねんず,ねんずしたけど我慢する、サー変
さうなし,サウナで死ぬのは簡単だ、またとない
ののしる,脳の汁が大声たてると大評判
はかなし,ハーかなしいワ、ちょっとむなしいワ
ざえ,ザザエさんカンカンガクガク
さかし,坂下かしこい、こざかしい
はかばかし,墓場で貸し借り、しっかりしてる
さすがに,さすがに忍者とはいってもやはり
はしたなし,走った梨君、中途半端でみっともない
さながら,さなぎのガメラ全部もとのまま
はつか(なり),二十日にちょっとね
さはれ,さはれ痴漢よ、もうどうにでもなれ！
はづかし,恥づかしいくらい立派ね
さら(なり),サラリーマンになりたいのは言うまでもない
ばや,婆ーやは死体
したたむ,舌たたんで食べる準備をする
ひがごと,東に後藤家は間違いだ
びんなし,ビンボーな梨では不都合だ
しどけなし,シッ！どけ梨、くつろぐな、だらしないぞ
ふびん(なり),夫婦貧乏で気の毒だ
しる,シルクで治める
しるし,シールしっかり効き目ははっきり霊験導師
ふみ,文男、手紙と本を読んでカンカンガクガク
すき,スキンヘッドは風流だ
ほい,ほいほい出家が本来の目的
すさび・すさみ,スー寂しいの、気まぐれにもて遊んで
まうけ,儲ける準備
