あいぎゃう(愛敬),あいちゃんぎょうさんかわいらしい
あかなくに,赤ん坊泣く泣く煮て食う、名残惜しい
あかる,あー軽く別れる
あきらむ,アキラのむっつりすけべを明らかにする
あく,悪魔満ち足りるが、やがて嫌になる
あくがる,あー久我ルンルン浮かれて憧れちゃう
あさむ,朝ムッツリスケベに驚く
あし,あっしが悪い、下手だ
あした(朝),あーしたくなる朝
あそばす,あーそばかすだらけな猿
あつし,あつしの婆ーちゃん危篤だ
あなかま,｢あなたもおかま？｣｢しっ、静かに｣
あふ,あぁ、ふと結婚する
あやなし,あや、梨と戦う、わけわからん
あらぬ,あらヌード、意外だわ。無関係！
あらまし,あらまーしっかりした計画
あらまほし,あらまー星一徹、理想的
ありつる,アリとつるんでさっきの店へ
いたはし,板野走る苦しそう、気の毒だ、お世話したい
いつく,いーつくし大事に育てる
いと・いたく(いたう)～打消,イイとあまり痛くない
いとふ,伊藤婦人は嫌いだ
いなぶ,｢いーな、ぶって？｣｢いや断るよ｣
いはけなし,言い訳なしよ、子供だなぁ
いふかひなし,誘拐無しはつまらない
いまいまし,今居ましたよ、不吉な幽霊
いまめかし,今おめかしするのが現代風
いもぬ,芋ぬくぬく寝る
うしろみ(後ろ見),後ろで見ている後見人
うしろやすし,後ろにやすしで安心だ
うす,うっすら死ぬ
うたてし,｢歌ってしまうまさん｣｢いやだ、情けない｣
うつろふ,うっ！つろうこざいます。色あせるのは
うへ(上),うへっ天皇だ
うめく,梅食うと、クー、ギンギンする
うるさし,うるさいし面倒で嫌味だなぁ
えさらず,えー皿ずっえったい避けられない
えん(なり),えんなりかずき優美だ
おきつ,沖で釣ってろ、と指図する
おと(音),夫に聞く評判を便りする
おぼえ(覚え),オーボエ吹きは評判いい、超ー愛されてる
おほとのごもる,オホホ、殿ゴモラとルンルンお休みになる
おもて(を)おこす,表をこすって名誉を回復する
およずく・およすぐ,お嫁すぐに大人になる
かくる,蚊がクルッと死ぬ
かしかまし,カッシーかマッシーはやかましい
かたくな(なり),かたくなだな見苦しい、物分りが悪いぞ
かたし,肩しまれ、そりゃ難しい
かたち(形・貌・容),形より大きさをご要望
かたへ(片方),肩へソバ粉
かたほ(なり),片方じゃ不完全だ
かち(徒歩),かっちゃんトホホ
かまへて,かまへて打てば必ず当たる
ーがり,ガリガリ君の元へ行こう
かりそめ(なり),仮に染めた髪、ちょっとだけ一時的よ
