あえか(なり),あーAカップ、きゃしゃだ
あからめ(傍目),あっ空メール、わき見する間に浮気する
あげつらふ,あげでつらぶつ、議論する
あざる,アザラシルンルン♪ふざけるな
あない(案内),あーないない取り次ぎ
あなる,あっなるほどあるようだと推定する
あべかり,安倍狩りに行ったにちがいない
あへず,あぁへはずっとは堪えられない
あへなし,あー変な梨、がっかり。どうしようもない
あへなむ,あー変なムード仕方がない
あめり,アメリカにあるらしい
あらがふ,荒井が二人で言い争う
あらたし,あら、確かに新しい
あらは(なり),あら半ケツ丸見えだ
あらます,あらまーすっごい期待する
あり,アリも生きている
ありありて,ありありてーへん、生きながらえてトドのあつまり
ありとある,アリと歩いてすべってんの
ありもつかず,アリと餅つかず、落ち着かない
あるじす,あるじスッとごちそうする
あるじまうけ(饗設け),あるじ儲けすぎ、ごちそうしろよ
あるは,あるはずだ、あるものは
あるやうこそは,ある夜こそばすからには何か訳があるのだろう
あれかにもあらず,あれ、蟹もアーラずっと、ぼうっとしている
いざたまへ,いざ多摩へ､さあいらっしゃい
いたし,板野死んだらあまりにひどい､いや素晴らしい
いちのひと(一の人),一位の人折檻受けて大丈夫？
いづら,いーつらどこどこ殴る
いでたつ,家出たついでに出発する
いとけなし,伊藤けなしたのは大人気ない
いとはし,伊藤端っこ嫌だ
いひけつ,いいケツしてると悪く言う
います,いますぐにいらっしゃる
いまだし,今ダシ取るのまだはやい
いむ,井村嫌って避ける
うきよ,憂き世はつらいよ
うけたまはる,うっ！毛に玉張る､おー受けする
うたてあり,｢歌ってアリさん｣｢いやだ｣
うち(内・内裏),うちが宮中？まして天皇？
うちとく,うち､とっくに気を許す
うつたへに,訴へに行こう､琴さらわれた
うつはもの(器物),｢打つは､ものすごい才能で｣
うとし,うっとーしー奴とは親しくない
うとまし,うっ！トマト死んじゃ嫌だ､気味が悪い
うまのはなむけ(馬の餞),馬の鼻むけ！送別会だ
うらなし,裏話ざっくばらん
うんず,うーんずっとふさぎこんで嫌になる
えならず,えー奈良漬け､なんともいえないほどよい
おいらか(なり),おいら感度がおっとりしている
おきな・おうな,おーきな爺さん､背負うな婆さん
おづ,オヅの魔法使いをこわがる
おとど(大臣・大殿),おっとどっこい大臣だい
おとなふ,大人フリフリ訪れる
おとなぶ,大人ぶって分別がある
おはします,大橋(おーはし)巨泉ますますいらっしゃる
おほけなし,王家のナシ､身分不相応だ
おほす,｢オホホステキ｣とおっしゃる
おもしろし,おもしろい城､趣がある｡興味深いね
おもて(面),オーもてもての顔
かきくらす,柿くらってすっかり心が暗くなる
かぎり(限り),鍵リリリ､全部
かごと(託言),カゴとられたとグチこぼす
かし,貸しだよね､と念を押す
かしまし,｢カッシー！｣｢マッシー！｣｢やかましい！｣
かずならず,数ならずいぶん取るに足らない
かずまふ,カズ､マフィアを人並みに扱う
かつ,勝つ一方
かど(才),かどわかしも才能のうち
かまびすし,｢釜､びしっ､すしっ！｣｢うるさいっ！｣
かまふ,釜二つ作る計画を立てる
きは(際),きはめる身分
きはやか(なり),キーはヤカンより目立つか
きゃうきゃう(なり),キャウキャウギャル語軽率だ
くすし,くすりしみる！不思議だ
くたす,食ったスープは腐っていたとけなす
くつ,靴腐る
くまなし,熊梨食べる抜け目なく､かげりがない
くもゐ(雲居・雲井),雲ゐっぱいの皇居です
くんず,クーンずっとふさぎこむ
けう(なり),毛売ってる珍しい
けうとし,毛がうっとーしー､うとましい
けし,ケシの実はあやしい､異様だ
けつ,ケツけなす
けむ,けむっただろう
けやけし,毛やけにシマシマ､目立っている､こしゃくな
こうず,こう頭痛がすると疲れるなあ､サー変
こころうし,所牛になるのはつらい
こぞ(去年),こぞって去年来た
ことうけ(言承け),後藤家の人は口先だけ
ことさむ,今年寒いが､今日もさむ！
ことなしび・ことなしぶ,コートなし美人素知らぬふり
ことのは(言の葉),コートの端に和歌を書く
こぼつ,コボちゃんツッパリ皿こわす
さが(性・相),佐賀のならわし
さきざき(先先),先々で以前の彼女に会う
さだめて,定めて打てばきっと当たる
さぶらふ・はべり,｢三郎はベリーマッチョでございます｣とお仕えする
さやか(なり),さやかは明るい､はっきりしている
さゆ,さゆり冷たい
さらず,サラ金ずっと避けられない
さらぬわかれ,沙羅とヌーの別れは死別
さりがたし,サリーが足し算してる､捨てておけない
さるは,猿はそうだけれども
さわがし,騒がしくて忙しい
しか,鹿？あっそう
しかじ,鹿十匹に越したことはあるまい
しかり,しっかり者だそうである
しづ(賤),しづかは卑しい
しな(品・級・科),しなびた身分
しふ,しゅふ､無理やりシール貼り
しらなみ(白波・白浪),白波五人男は盗賊です
すくせ(宿世),スクイズ成功､前世からの因縁
すくよか(なり),すごくよか奴､しっかりしていてぶっきらぼう
すさぶ,好きよサブちゃん､なぐさめてもっともっと
すだく,須田君集まる
ずは,ズバッと言わないで､もし言いたくないならば
すべなし,すけべな梨､どうしようもない
すまふ,すもう取り､あらそう
すゑ(末),吸えー､下の口
ずんず(誦ず),ずんずん読む
せきあふ,席に溢れる涙をこらえる
そらごと(空言・虚言),空に後藤家なんて嘘だ
たいだいし,怠惰な意志もってのほかだ！
たけし,たけしは盛んだ､勇ましい
たふ,タフな能力がある
たへたる,タコへたる､達人や
たまさか(なり),たまたまさかさ
たまのを(玉の緒),玉のお命､ちょっとちょうだい
たまはる,玉､春にいただく
たまゆら(玉響),玉ユラユラわずかの間揺れる
ためし(例し・試し),ためしにやって前例作ろう
ためらふ,ためらってふと落ち着く
たゆむ,たゆむっ！油断するな
つかまつる,捕まえた鶴にお仕えして差し上げる
つつむ,つつむ隠して遠慮する
つぼ(坪),壺庭
つま(端),妻は端っこ
つれづれ(なり),つれーづれー､手持ち無沙汰だ
てうず・ちょうず,腸ズルズル退治しながら料理する
てづから,手塚治虫ラララ､自分の手で､ラララ
てふ,てふという
ところえがほ(所得顔),所笑顔で得意顔
どち,どっちが仲間？
ながめ(眺め),長嶋めずらしく物思い
なごり(名残),なごりの雪は別れの余韻
なさけ(情け),なさけある思いやり､風情がある
なづさふ,なづさフナに慣れ親しむ
なづむ,夏ムンムン､悩み苦しむ
なでふ,なでるフリしてぶつ！どうして？
なにおふ(名に負ふ),何をいうー､で有名である
なめり,なーメリーちゃんであるらしい
なゆ,なゆなゆになえる
にくさげ(なり),肉さげてると醜いぞ
になし,ニーナ死ぬな､またとない
ねぶ,ねー､ぶってぶってと大人びる
ねをなく,ネヲン泣く泣く声あげて
のぼる,のぼるに会いに上京する
はた,はたまた
はつ,初で死ぬ
はな(花),花と言えば桜､奈良漬うめー
はばかる,派閥軽～く遠慮する
はやく(う)～けり,はやう蹴りーな､なんとまあ
はらから(同胞),腹から兄弟飛び出す
ひがひがし,日が東に沈むとはひねくれている
ひつ,ひつこくすると濡れる
ひとかたならず,人肩ならす､並々ではない
ひとりごつ,ひとりで｢ごつん｣と独り言を言う
ひとわろし,人聞きわろしみっともない
らうあり,らうめんアリ食う慣れている
らうがはし,廊下走るな騒がしい
らむ,ラムちゃん今ごろ何しているだろう
