見る,思う、関係を結ぶ、面倒を見る
見す,結婚させる
見ゆ,見える、思われる、見せる、結婚する
かいまみる（垣間見る）,のぞき見る
よばふ（呼ばふ）,呼び続ける、求婚する
好く,風流を好む
わたる（渡る）,通る、いらっしゃる、〜続ける、一面に
ありく（歩く）,出歩く、〜しまわる、〜続ける
おこなふ（行う）,仏道修行をする
なやむ（悩む）,病気になる
おこたる（怠る）,病気が治る
おくる（後る、遅る）,先立たれる
ながむ（眺む、詠む）,物思いに沈む、口ずさむ
ときめく（時めく）,寵愛を受ける、栄える
かしづく,大切に育てる、大切に世話をする
めづ（愛づ）,愛する、感嘆する
おどろく（驚く）,目を覚ます、気づく
こうず（困ず）,疲れる
おぼゆ（覚ゆ）,思われる、思い出される、似る
聞こゆ,聞こえる、評判になる、分かる
まもる、まぼる（守る）,見つめる
たのむ（頼む）,あてにする、あてにされる
かづく（被く）,かぶる、いただく、与える
ののしる,大声で騒ぐ、評判になる、羽振りをきかす
やる（遣る）,送る、〜きれない
いらふ（答ふ）,答える
にほふ（匂ふ）,美しく映える
あきらむ（明らむ）,明らかにする
ねんず（念ず）,がまんする
まうく（設く）,用意する
ゐる（居る、率る）,座る、〜ている、連れる
具す,伴う、連れる、添える
経,たつ、通る
さる（避る、去る）,避ける、なる
ものす（物す）,する、いらっしゃる
ならふ（慣らふ、馴らふ）,慣れる、なじむ
しのぶ（忍ぶ、偲ぶ）,がまんする、人目につかないようにする、思い出す
わぶ（侘ぶ）,困る、〜かねる
をかし,すばらしい、滑稽だ
よろし,悪くはない、普通だ
ありがたし,めったにない、すばらしい
つきづきし（付き付きし）,似つかわしい
なまめかし,上品だ、若々しい
めでたし,すばらしい
うるはし,きちんとしている、美しい
やむごとなし,高貴だ、並々でない
おとなし（大人し）,思慮分別がある、主だっている
ゆかし,見たい、聞きたい、知りたい、心ひかれる
なつかし,親しみ深い
はづかし（恥ずかし）,立派だ
こころにくし,奥ゆかしい
うつくし（美し）,かわいい
かなし,いとしい
らうたし,かわいい
めやすし（目安し）,感じがよい
あやし（怪し、賤し）,不思議だ、身分が低い、粗末だ
さうざうし,物足りない
つれなし,平然としている、冷淡だ
なめし,無礼だ
おどろおどろし,大げさだ、気味が悪い
憂し,つらい、いやだ
むつかし,うっとうしい、気味が悪い
すさまじ,興ざめだ、殺風景だ
びんなし（便無し）,不都合だ、気の毒だ
いとほし,気の毒だ
いはけなし,子どもっぽい
つらし,薄情だ
ところせし（所狭し）,窮屈だ
うしろめたし,気がかりだ
かたはらいたし,きまり悪い、苦々しい、気の毒だ
わりなし,ひどい、どうしようもない、苦しい
本意なし,残念だ
あさまし,驚くほどだ、あきれるほどだ、情けない
めざまし,きにくわない、すばらしい
いみじ,すばらしい、ひどい、とても
ゆゆし,不吉だ、すばらしい、はなはだしく
やさし,優美だ、上品だ、殊勝だ
