"at first","最初は",,,,,,,
"because of 〜","〜のために",,,,,,,
"in fact","実際は",,,,,,,
"in order to 不定詞","〜するために(目的)",,,,,,,
"for the frist time","はじめて",,,,,,,
"after all","結局は",,,,,,,
"at once","すぐに  同時に",,,,,,,
"take care of〜","〜の世話をする",,,,,,,
"hear from〜","〜から便り(連絡)がある",,,,,,,
"A as well as B","Bと同様にAも",,,,,,,
"not…at all","まったく…ない",,,,,,,
"as〜as possible","できる限り〜",,,,,,,
"not only A but also B","AのみならずBも",,,,,,,
"prefer A to B","BよりAの方を好む",,,,,,,
"except for〜","〜(の点)を除けば",,,,,,,
"be likely to〜","〜しそうだ",,,,,,,
"be good at〜","〜が上手である",,,,,,,
"in general","一般に",,,,,,,
"in short","要するに  つまり",,,,,,,
"be surprised at","〜に驚く",,,,,,,
"at least","少なくとも",,,,,,,
"first of all","まずはじめに",,,,,,,
"be used to〜","〜に慣れている",,,,,,,
"used to〜","(以前はよく)〜したものだ",,,,,,,
"look for〜","〜を探す",,,,,,,
"as a rule","概して  一般的に",,,,,,,
"in spite of〜","〜にもかかわらず",,,,,,,
"according to〜","〜によれば",,,,,,,
"on the contrary","それどころか(反対に)",,,,,,,
"instead of〜","〜の代わりに",,,,,,,
"be full of〜","〜ていっぱいである",,,,,,,
"be afiaid of〜","〜を恐れる",,,,,,,
"give up","止める",,,,,,,
"for instance","例えば",,,,,,,
"take part in〜","〜に参加する",,,,,,,
"to tell the truth","正直に言うと",,,,,,,
"look after〜","〜の世話をする",,,,,,,
"tend to 不定詞","〜する傾向がある",,,,,,,
"be famous for〜","〜で有名だ",,,,,,,
"happen to〜","偶然〜する",,,,,,,
"get rid of〜","〜を取り除く",,,,,,,
"be apt to 不定詞","〜する傾向がある",,,,,,,
"have a good time","楽しくすごす",,,,,,,
"look forward to〜","〜を楽しみに待つ",,,,,,,
"be superior to〜","〜より優れている",,,,,,,
"think of A as B","AをBだと考える",,,,,,,
"due to〜","〜のために(原因)",,,,,,,
"what we call","いわゆる",,,,,,,
"turn on/off","(電気、スイッチなどを)つける/消す",,,,,,,
"be equal to〜","〜に匹敵する",,,,,,,
"be similar to〜","〜と似ている",,,,,,,
"cannot help〜ing","〜せざるを得ない",,,,,,,
"go on 〜ing","〜し続ける",,,,,,,
"out of〜","〜の範囲外で",,,,,,,
"put on〜","(〜を)身につける",,,,,,,
"take off〜","(〜を)脱ぐ",,,,,,,
"on time","時間通りに",,,,,,,
"refer to〜","〜に言及する  〜を参照する",,,,,,,
"apart from〜","〜は別として",,,,,,,
"on the other hand","他方(では)",,,,,,,
"on one's way (to〜)","(〜への)途中で",,,,,,,
"beyond description","(言葉では)表現できないほど",,,,,,,
"As for〜","〜に関しては",,,,,,,
"as to〜","〜に関しては",,,,,,,
"never…without〜ing","…すると必ず〜する",,,,,,,
"by means of〜","〜によって",,,,,,,
"be capable of〜ing","〜できる",,,,,,,
"take〜for granted","〜を当然のことと考える",,,,,,,
"be familiar with〜","〜をよく知っている",,,,,,,
"remind A of B","AにBのことを思い出させる",,,,,,,
"prevent〜from〜ing","〜が〜するのを妨げる",,,,,,,
"be accustomed to〜","〜に慣れている",,,,,,,
"take pains","骨を折る",,,,,,,
"at home","くつろいで",,,,,,,
"would rather〜than…","(どちらかといえば)むしろ…より〜したい",,,,,,,
"come up with","思い付く 考えつく",,,,,,,
"be to 不定詞","予定/義務/可能",,,,,,,
"believe in〜","(〜の存在、価値を)信じる",,,,,,,
"not a few","少なからぬ",,,,,,,
"on purpose","故意に",,,,,,,
"catch up with〜","〜に追いつく",,,,,,,
"result in〜","〜に終わる",,,,,,,
"as if…","まるで…(である)かのように",,,,,,,
"so to speak","いわば",,,,,,,
"be anxious for〜","〜を切望している",,,,,,,
"free from〜","〜がない",,,,,,,
"regard A as B","AをBとみなす",,,,,,,
"that is (to say)","すなわち",,,,,,,
"be supposed to 不定詞","〜する予定になっている",,,,,,,
"result from","〜に起因する",,,,,,,
"by oneself","ひとりで",,,,,,,
"grow up","成長する",,,,,,,
"It goes without saying that…","…なのは言うまでもない",,,,,,,
"a good (great) deal of〜","多量の〜",,,,,,,
"tell A from B","AをBと見分ける",,,,,,,
"in detail","詳細に",,,,,,,
"take account of〜","〜を考慮に入れる",,,,,,,
"up to〜","〜次第で",,,,,,,
"be concerned with〜","〜に関係している",,,,,,,
"break out","勃発する",,,,,,,
