"不 A
A(せ)ず",Aしない・Aでない
"非(匪) A
Aにあらず",Aでない
"無(莫・勿・毋) A
Aなし",Aがない・Aはない
"未 A
いまだAず",まだAではない
"勿(毋・無・莫) A
Aすることなかれ",Aしてはいけない
"不 能 A
Aあたはず",Aできない
"不 得 A
Aをえず",Aできない
"不 可 A
Aべからず","Aしてはいけない
Aできない"
"不 常 A
つねにはA(せ)ず",いつもAするとは限らない
"不(未) 必 A
(いまだ)かならずしもA(せ)ず",(まだ)必ずしもAとは限らない
"不 倶 A
ともにはA(せ)ず",両方ともAするということはない
"不 復 A
またAせず",二度と再びAしない
"必 不 A
かならずA(せ)ず",必ずAしない
"常 不 A
つねにA(せ)ず",いつもAしない
"無(莫) 不 A
Aざるはなし",Aしないものはない
"非 不 A
Aせざるにあらず",Aしないわけではない
"無(莫) 非(匪) A
Aにあらざるはなし",Aがないわけでない
"非 無 A
Aなきにあらず",Aがないわけでない
"無 A 不 B
AとしてBせざるはなし",どんなAでもBしないものはない
"無 A 無 B
AとしてBなきはなし",どんなAでもBのないものはない
"不 可 不 A
A(せ)ざるべからず",Aしなければならない
"不 能 不 A
A(せ)ざるあたはず","Aしないではいられない
Aしないわけにはいかない"
"不 得 不 A
A(せ)ざるをえず","Aしないではいられない
Aしないわけにはいかない"
"不 必 不 A
かならずしもA(せ)ずんばあらず",必ずしもAしないとは限らない
"未 嘗 不 A
未だ嘗てA(せ)ずんばあらず",まだ今まで一度もAしなかったことはない
"不 為 不
Aせずとなさず",Aしないとはいえない
"不 敢 A
あえてAせず",けっしてAしない
"無 敢 A
あへてAすることなかれ",無理に(決して)Aしてはいけない
"不 可 勝 A
勝げてA(す)べからず",?しきれないほど多い
"A 無 B 無
Aと無くBと無く",ABの区別無く
"何(胡・奚・曷) A 也(乎・哉)
なんぞAや",A(なの)はどうしてか
"安 A 也(乎・哉)
いづくんぞA(する)や
いづくにA(する)や","どうしてAか
どこにAか"
"何(奚) A 
なにをかAする",なにをAか
"何(胡・奚・曷) A 
なんぞAする",どうしてAか
"安(悪・焉・寧) A 
いづくんぞAする
いづくにかAする","どうしてAか
どこにAか"
"誰(孰) A
たれかA(する)","誰がAか
Aするのは誰か"
"孰(奚) A
いづれかA(する)",どちらがA(する)か
"A乎(也・邪・耶・与・歟・哉)
Aか
Aや",Aか
"何 以 A/なにをもつてかA
何 故 A/なんノゆゑにA(する)
何 処 A / いづれのところよりA","どうやってAか
どうしてAか
どこからAか"
"A 幾 何/いくばく(ぞ)
A 幾 時/いくとき(ぞ)","どれほど・どれくらい
どれくらいの期間か"
"A 何 如(何 若)
Aいかん",どうか、どうであるか
"A 如 何
Aいかんせん",どうしたらよいか
"A 不(否)
Aやいなや","Aかどうか
Aだろうか"
"肯定形＋否定形
～か、～か",～か、～でないか
"何(胡・奚) A 也(哉)
なんぞAん(や)",どうしてAだろうか、いやAない
"安(悪・焉・寧) A 也(哉)
いづくんぞAん(や)
いづくにかAん(や)","どうしてAだろうか、いやAない
どこにAだろうか、いやどこにもAない"
"何 A
なにをかAん",何をAだろうか、いや何もAない
"安 A 
いづくんぞAせんや
",どうしてAするだろうか、いやAしない
"誰 A
たれかA(せ)ん",だれがAするだろうか、いやだれもAしない
"A 乎(也・哉・与・耶・邪・歟)
Aんや",Aか、いやAない
"何 以 A
なにをもつてかAん",どうしてAだろうか、いやAない、
"幾何(幾許)
いくばくぞ",どれほどであろうか、いやいくらもない
"如何…
いかんぞ…",どうして…か
"如何 
如 A 何
いかんせん
Aをいかんせん","どうしたらよいか
どうしたらよかろうか、いやどうしようもない"
"豈 A 乎(哉)
あにA(せ)んや",どうしてAするだろうか、いやAしない
"豈 A
あにA(せ)んや",どうしてAするだろうか、いやAしない
"独 A 乎(哉)
ひとりA(せ)んや",どうしてAするだろうか、いやAしない
"何(胡) 不 A
盍(蓋) A
なんぞAせざる",どうしてAしないのか、Aすればよい
"何 必 A
なんぞかならずしもAせん",どうしてAする必要があるか、ありはしない
"何 A 之 有
なんのAこれあらん",どうしてAあろうか、ありはしない
"敢 不 A (乎)
あえてAせざらん(や)",どうしてAないだろうか、いやきっとAする
"君 不 見(聞・知)
きみみ(きか・しら)ずや","見た/聞いた事があるでしょう
ご存知でしょう"
"嗚呼(嗟乎) A 哉 (矣)
ああA(かな)",ああ～なあ
"嗚呼(鳴呼･吁嗟･嗟乎･嗚乎･于嗟･嗟于･噫･?･?･噫?･吁戯) 
ああ",ああ～なあ
