"未 A
いまだAせず","まだAしない",,,,,,,
"将(且) A
まさにAせんとす
","いまにもAしようとする
いまにもAしそうだ",,,,,,,
"当 A
応 A
まさにAすべし","当然Aすべきだ
Aしなければならない
きっとAするだろう",,,,,,,
"宜 A
よろしくAすべし","Aするのがよろしい",,,,,,,
"須 A
すべからくAすべし","Aする必要がある
Aしなければならない",,,,,,,
"猶(由) A
なほAの(Aするが)ごとし","あたかもAのようだ
ちょうどAと同じだ",,,,,,,
"盍 A
なんぞA(せ)ざる","どうしてAしないのか
Aしたらどうか",,,,,,,
"未 嘗 不 A
未だ嘗てA(せ)ずんばあらず","まだ今まで一度もAしなかったことはない",,,,,,,
"不 敢 不 A
敢へてA(せ)ずんばあらず","Aしないわけにはいかない",,,,,,,
"不 可 不 A
A(せ)ざるべからず","Aしなければならない",,,,,,,
"不 能 不 A
A(せ)ざるあたはず","Aしないではいられない
Aしないわけにはいかない",,,,,,,
"不 得 不 A
A(せ)ざるをえず","Aしないではいられない
Aしないわけにはいかない",,,,,,,
"不 常 A
つねにはA(せ)ず","いつもAするとは限らない",,,,,,,
"常 不 A
つねにA(せ)ず","いつもAしない",,,,,,,
"不 復 A
またAせず","二度と再びAしない",,,,,,,
"復 不 A
またAせず","今度もまたAしない",,,,,,,
"不 倶 A
ともにはA(せ)ず","両方ともAするということはない",,,,,,,
"倶 不 A
ともにA(せ)ず","どちらもAしない",,,,,,,
"不 尽 A
ことごとくはAせず","全部をAすることはしない",,,,,,,
"A 也
Aか A(する)か A(す)や","Aか
Aするか",,,,,,,
"A 也
A(せ)んや","Aするだろうか、いやAしない",,,,,,,
"何 A 
なんぞAする","どうしてAするのか",,,,,,,
"何 A 
なんぞAせん","どうしてAするだろうか、いやAしない",,,,,,,
"安 A 
いづくんぞAせんや
","どうしてAするだろうか、いやAしない",,,,,,,
"誰 A
たれかA(せ)ん","だれがAするだろうか、いやだれもAしない",,,,,,,
"何 由 A

どうしてAするのか","なにによりてかAする(や)",,,,,,,
"何 A B
いづれのAかB(せ)ん","どこの(いつの)AがBするだろうか

",,,,,,,
"如何 
如 A 何
いかんせん
Aをいかんせん","どうしたらよいか
どうしたらよかろうか、いやどうしようもない",,,,,,,
"如何…
いかんぞ…","               どうして…か",,,,,,,
"A 何 也
Aはなんぞや
","A(なの)はどうしてか",,,,,,,
"何如・何若
いかん","どうか、どうであるか",,,,,,,
"孰 A
いづれかA(する)","どちらがA(する)か",,,,,,,
"A 否
Aやいなや","Aかどうか
Aだろうか",,,,,,,
"A 未
Aやいまだしや","Aだろうか、まだだろうか",,,,,,,
"豈 A 哉
あにA(せ)んや","どうしてAするだろうか、いやAしない",,,,,,,
