add,加える,"A new wing was <font color="#FFC000">added</font> to the building.<br><br><div style="height: 140px; overflow: auto;">自動詞として「増大する」「強める」、<br>他動詞として「加える」。<br>「足す」「合計する」という意味でも使われる。</div><br><br>類義語 : <br>反意語 : <br>参考 : 【名】addition（追加；足し算）"" new wing was <font color="#FFC000">added</font> to the building.<br><br><div style="height: 140px; overflow: auto;">自動詞として「増大する」「強める」、<br>他動詞として「加える」。<br>「足す」「合計する」という意味でも使われる。</div><br><br>類義語 : <br>反意語 : <""new wing was <font color="#FFC000">added</font> to the building.<br><br><div style="height: 140px; overflow: auto;">自動詞として「増大する」「強める」、<br>他動詞として「加える」。<br>「足す」「合計する」という意味でも使われる。</div""ew wing was <font color="#FFC000">added</font> to the building.<br><br><div style="height: 140px; overflow: auto;">自動詞として「増大する」「強める」、<br>他動詞として「加える」。<br>「足""w wing was <font color="#FFC000">added</font> to the building.<br><br><div style="height: 140px; overflow: auto;">自動詞として「増大する」「強める"" wing was <font color="#FFC000">added</font> to the building.<br><br><div style="height: 140px; overflow: ""wing was <font color="#FFC000">added</font> to the building.<br><br><div style="hei""ing was <font color="#FFC000">added</font> to the building.<b""ng was <font color="#FFC000">added</font""g was <font color="#"" "
die,死ぬ,"<font color="#FFC000">die</font> of cancer<br><br><div style="height: 140px; overflow: auto;">die of [from] ～｢～が原因で死ぬ｣という形でも用いられる。</div><br><br>類義語 : <br>反意語 : <br>参考 : 【名】 death（死亡）""font color="#FFC000">die</font> of cancer<br><br><div style="height: 140px; overflow: auto;">die of [from] ～｢～が原因で死ぬ｣という形でも用いられる。</div><br><br>類義語 : <br>反意語 : <br>参考 : 【""ont color="#FFC000">die</font> of cancer<br><br><div style="height: 140px; overflow: auto;">die of [from] ～｢～が原因で死ぬ｣という形でも用いられる。</div><br><br>類義語 : <br>反意語 :""nt color="#FFC000">die</font> of cancer<br><br><div style="height: 140px; overflow: auto;">die of [from] ～｢～が原因で死ぬ｣という形でも用いられる。</div><br><br>類義語 :""t color="#FFC000">die</font> of cancer<br><br><div style="height: 140px; overflow: auto;">die of [from] ～｢～が原因で死ぬ｣という形でも用いられる。</div><br>"" color="#FFC000">die</font> of cancer<br><br><div style="height: 140px; overflow: auto;">die of [from] ～｢～が原因で死ぬ｣という形でも用いられる。</""color="#FFC000">die</font> of cancer<br><br><div style="height: 140px; overflow: auto;">die of [from] ～｢～が原因で死ぬ｣という形でも用""olor="#FFC000">die</font> of cancer<br><br><div style="height: 140px; overflow: auto;">die of [from] ～｢～が原因で死ぬ｣と""lor="#FFC000">die</font> of cancer<br><br><div style="height: 140px; overflow: auto;">die of [from] ～｢～が原因""or="#FFC000">die</font> of cancer<br><br><div style="height: 140px; overflow: auto;">die of [from] ～｢""r="#FFC000">die</font> of cancer<br><br><div style="height: 140px; overflow: auto;">die of [from]""="#FFC000">die</font> of cancer<br><br><div style="height: 140px; overflow: auto;">die of [fro"""#FFC000">die</font> of cancer<br><br><div style="height: 140px; overflow: auto;">die of [fr""#FFC000">die</font> of cancer<br><br><div style="height: 140px; overflow: auto;">die of [fr""FFC000">die</font> of cancer<br><br><div style="height: 140px; overflow: auto;">die""FC000">die</font> of cancer<br><br><div style="height: 140px; overflow: auto""C000">die</font> of cancer<br><br><div style="height: 140px; overflow:""000">die</font> of cancer<br><br><div style="height: 140px; overf""00">die</font> of cancer<br><br><div style="height: 140px; ov""0">die</font> of cancer<br><br><div style="height: 140px; """>die</font> of cancer<br><br><div style="height: 140px;"">die</font> of cancer<br><br><div style="height: 140px;""die</font> of "
kill,殺す,"Her father was<font color="#FFC000"> killed </font>in a car crash. <br><br><div style="height: 140px; overflow: auto;">「殺す」のほか「～を台無しにする」「（植物が）枯れる」といった意味も持つ。</div><br><br>類義語 : <br>反意語 : <br>参考 : 【名】 killer  殺し屋""er father was<font color="#FFC000"> killed </font>in a car crash. <br><br><div style="height: 140px; overflow: auto;">「殺す」のほか「～を台無しにする」「（植物が）枯れる」といった意味も持つ。</div><br><br>類義語 : <br>反意語 ""r father was<font color="#FFC000"> killed </font>in a car crash. <br><br><div style="height: 140px; overflow: auto;">「殺す」のほか「～を台無しにする」「（植物が）枯れる」といった意味も持つ。</d"" father was<font color="#FFC000"> killed </font>in a car crash. <br><br><div style="height: 140px; overflow: auto;">「殺す」のほか「～を台無しにする""father was<font color="#FFC000"> killed </font>in a car crash. <br><br><div style="height: 140px; overflow: ""ather was<font color="#FFC000"> killed </font>in a car crash. <br><br><div style="hei""ther was<font color="#FFC000"> killed </font>in a car crash. <b""her was<font color="#FFC000"> killed </fon""er was<font color="#FF""r w"
plant,植える,"<font color="#FFC000">plant</font> fruit trees and vegetables<br><br><div style="height: 140px; overflow: auto;">動詞の他，名詞で「施設」「設備」「装置」の意味がある。工場などを指して使われる。</div><br><br>類義語 : <br>反意語 : <br>参考 : 【名】plantation(大農園)""font color="#FFC000">plant</font> fruit trees and vegetables<br><br><div style="height: 140px; overflow: auto;">動詞の他，名詞で「施設」「設備」「装置」の意味がある。工場などを指して使われる。</div><br><br>類義語 : <br>反意語 : <br>参考 : 【名】pla""ont color="#FFC000">plant</font> fruit trees and vegetables<br><br><div style="height: 140px; overflow: auto;">動詞の他，名詞で「施設」「設備」「装置」の意味がある。工場などを指して使われる。</div><br><br>類義語 : <br>反意語 : <br>""nt color="#FFC000">plant</font> fruit trees and vegetables<br><br><div style="height: 140px; overflow: auto;">動詞の他，名詞で「施設」「設備」「装置」の意味がある。工場などを指して使われる。</div><br><br>類義語 : <br>""t color="#FFC000">plant</font> fruit trees and vegetables<br><br><div style="height: 140px; overflow: auto;">動詞の他，名詞で「施設」「設備」「装置」の意味がある。工場などを指して使われる。</div><br><br>類"" color="#FFC000">plant</font> fruit trees and vegetables<br><br><div style="height: 140px; overflow: auto;">動詞の他，名詞で「施設」「設備」「装置」の意味がある。工場などを指して使われる。</div><""color="#FFC000">plant</font> fruit trees and vegetables<br><br><div style="height: 140px; overflow: auto;">動詞の他，名詞で「施設」「設備」「装置」の意味がある。工場などを指して使われる。""olor="#FFC000">plant</font> fruit trees and vegetables<br><br><div style="height: 140px; overflow: auto;">動詞の他，名詞で「施設」「設備」「装置」の意味がある。工場などを指し""lor="#FFC000">plant</font> fruit trees and vegetables<br><br><div style="height: 140px; overflow: auto;">動詞の他，名詞で「施設」「設備」「装置」の意味がある。工場""or="#FFC000">plant</font> fruit trees and vegetables<br><br><div style="height: 140px; overflow: auto;">動詞の他，名詞で「施設」「設備」「装置」の意味があ""r="#FFC000">plant</font> fruit trees and vegetables<br><br><div style="height: 140px; overflow: auto;">動詞の他，名詞で「施設」「設備」「装置」の意""="#FFC000">plant</font> fruit trees and vegetables<br><br><div style="height: 140px; overflow: auto;">動詞の他，名詞で「施設」「設備」「装置」"""#FFC000">plant</font> fruit trees and vegetables<br><br><div style="height: 140px; overflow: auto;">動詞の他，名詞で「施設」「設備」「装置""#FFC000">plant</font> fruit trees and vegetables<br><br><div style="height: 140px; overflow: auto;">動詞の他，名詞で「施設」「設備」「装置""FFC000">plant</font> fruit trees and vegetables<br><br><div style="height: 140px; overflow: auto;">動詞の他，名詞で「施設」""FC000">plant</font> fruit trees and vegetables<br><br><div style="height: 140px; overflow: auto;">動詞の他，名""C000">plant</font> fruit trees and vegetables<br><br><div style="height: 140px; overflow: auto;">動""000">plant</font> fruit trees and vegetables<br><br><div style="height: 140px; overflow: auto""00">plant</font> fruit trees and vegetables<br><br><div style="height: 140px; overflow: a""0">plant</font> fruit trees and vegetables<br><br><div style="height: 140px; overflow:""">plant</font> fruit trees and vegetables<br><br><div style="height: 140px; overflow"">plant</font> fruit trees and vegetables<br><br><div style="height: 140px; overflow""plant</font> fruit tree"
size,サイズ,"an area the <font color="#FFC000">size</font> of Hokkaido<br><br><div style="height: 140px; overflow: auto;">「法律・条令」が原義。動詞として「大きさにあわせて何かをする」の意も持つ。</div><br><br>類義語 : <br>反意語 : <br>参考 : ""n area the <font color="#FFC000">size</font> of Hokkaido<br><br><div style="height: 140px; overflow: auto;">「法律・条令」が原義。動詞として「大きさにあわせて何かをする」の意も持つ。</div><br><br>類"" area the <font color="#FFC000">size</font> of Hokkaido<br><br><div style="height: 140px; overflow: auto;">「法律・条令」が原義。動詞として「大きさにあわせて何かをす""area the <font color="#FFC000">size</font> of Hokkaido<br><br><div style="height: 140px; overflow: auto;">「法律・条令」""rea the <font color="#FFC000">size</font> of Hokkaido<br><br><div style="height: 140px; ove""ea the <font color="#FFC000">size</font> of Hokkaido<br><br><div style""a the <font color="#FFC000">size</font> of Hokkaid"" the <font color="#FFC000">size""the <font col"
heart,心臓,"a <font color="#FFC000">heart</font> attack<br><br><div style="height: 140px; overflow: auto;">大きく分けて「心臓」と「心」の二つの意味を表す。heartacheは「心臓の痛み」ではなく、「心痛、悲嘆」である。また、物事の「中心部」という意味でも用いる。</div><br><br>類義語 : <br>反意語 : <br>参考 : "" <font color="#FFC000">heart</font> attack<br><br><div style="height: 140px; overflow: auto;">大きく分けて「心臓」と「心」の二つの意味を表す。heartacheは「心臓の痛み」ではなく、「心痛、悲嘆」である。また、物事の「中心部」という意味でも用いる。</div><br><br>類義語 : <br>反""<font color="#FFC000">heart</font> attack<br><br><div style="height: 140px; overflow: auto;">大きく分けて「心臓」と「心」の二つの意味を表す。heartacheは「心臓の痛み」ではなく、「心痛、悲嘆」である。また、物事の「中心部」という意味でも用いる。</div><br><b""font color="#FFC000">heart</font> attack<br><br><div style="height: 140px; overflow: auto;">大きく分けて「心臓」と「心」の二つの意味を表す。heartacheは「心臓の痛み」ではなく、「心痛、悲嘆」である。また、物事の「中心部」という意味でも用いる。""ont color="#FFC000">heart</font> attack<br><br><div style="height: 140px; overflow: auto;">大きく分けて「心臓」と「心」の二つの意味を表す。heartacheは「心臓の痛み」ではなく、「心痛、悲嘆」である。また、物事の「中心部」""nt color="#FFC000">heart</font> attack<br><br><div style="height: 140px; overflow: auto;">大きく分けて「心臓」と「心」の二つの意味を表す。heartacheは「心臓の痛み」ではなく、「心痛、悲嘆」である。ま""t color="#FFC000">heart</font> attack<br><br><div style="height: 140px; overflow: auto;">大きく分けて「心臓」と「心」の二つの意味を表す。heartacheは「心臓の痛み」ではなく、「心痛"" color="#FFC000">heart</font> attack<br><br><div style="height: 140px; overflow: auto;">大きく分けて「心臓」と「心」の二つの意味を表す。heartacheは「心臓の痛み」""color="#FFC000">heart</font> attack<br><br><div style="height: 140px; overflow: auto;">大きく分けて「心臓」と「心」の二つの意味を表す。heartacheは""olor="#FFC000">heart</font> attack<br><br><div style="height: 140px; overflow: auto;">大きく分けて「心臓」と「心」の二つの意味を表す。hear""lor="#FFC000">heart</font> attack<br><br><div style="height: 140px; overflow: auto;">大きく分けて「心臓」と「心」の二つの意味を表す""or="#FFC000">heart</font> attack<br><br><div style="height: 140px; overflow: auto;">大きく分けて「心臓」と「心」の二つの意""r="#FFC000">heart</font> attack<br><br><div style="height: 140px; overflow: auto;">大きく分けて「心臓」と「心」の二""="#FFC000">heart</font> attack<br><br><div style="height: 140px; overflow: auto;">大きく分けて「心臓」と「心」"""#FFC000">heart</font> attack<br><br><div style="height: 140px; overflow: auto;">大きく分けて「心臓」と「心""#FFC000">heart</font> attack<br><br><div style="height: 140px; overflow: auto;">大きく分けて「心臓」と「心""FFC000">heart</font> attack<br><br><div style="height: 140px; overflow: auto;">大きく分けて""FC000">heart</font> attack<br><br><div style="height: 140px; overflow: auto;">""C000">heart</font> attack<br><br><div style="height: 140px; overflow: au""000">heart</font> attack<br><br><div style="height: 140px; overflow""00">heart</font> attack<br><br><div style="height: 140px; overf""0">heart</font> attack<br><br><div style="height: 140px; ove""">heart</font> attack<br><br><div style="height: 140px; ov"">heart</font> attack<br><br><div style="height: 140px; ov""heart</font> atta"
touch,接触,"Father keeps in <font color="#FF6600">touch</font> with us by mail and telephone.<br><br><div style="height: 140px; overflow: auto;">古フランス語tochier（触れる）が語源。また、心に「触れる」というところから、touchには「感動させる」という意味もある。</div><br><br>類義語 : <br>反意語 : <br>参考 : ""ather keeps in <font color="#FF6600">touch</font> with us by mail and telephone.<br><br><div style="height: 140px; overflow: auto;">古フランス語tochier（触れる）が語源。また、心に「触れる」というところから、touchには「感動させる」という意味もある。</div><br><""ther keeps in <font color="#FF6600">touch</font> with us by mail and telephone.<br><br><div style="height: 140px; overflow: auto;">古フランス語tochier（触れる）が語源。また、心に「触れる」というところから、touchには""her keeps in <font color="#FF6600">touch</font> with us by mail and telephone.<br><br><div style="height: 140px; overflow: auto;">古フランス語tochier（触れる）が語源。""er keeps in <font color="#FF6600">touch</font> with us by mail and telephone.<br><br><div style="height: 140px; overflow: auto""r keeps in <font color="#FF6600">touch</font> with us by mail and telephone.<br><br><div style="heigh"" keeps in <font color="#FF6600">touch</font> with us by mail and telephone.<b""keeps in <font color="#FF6600">touch</font> with us by""eeps in <font color="#FF6600">to""eps in <fon"
lie,横たわる,"The cat was <font color="#FFC000">lying</font> on the floor.<br><br><div style="height: 140px; overflow: auto;">他動詞のlay(横たえる)と対応している。lieの過去形 lay と他動詞の原形 lay を混同しやすいので注意。</div><br><br>類義語 : <br>反意語 : <br>参考 : ""he cat was <font color="#FFC000">lying</font> on the floor.<br><br><div style="height: 140px; overflow: auto;">他動詞のlay(横たえる)と対応している。lieの過去形 lay と他動詞の原形 lay を混同しやすいので注意。</div><br><br>類""e cat was <font color="#FFC000">lying</font> on the floor.<br><br><div style="height: 140px; overflow: auto;">他動詞のlay(横たえる)と対応している。lieの過去形 lay と他動詞の原形 lay を混同し"" cat was <font color="#FFC000">lying</font> on the floor.<br><br><div style="height: 140px; overflow: auto;">他動詞のlay(横たえる)と対応している。lieの過去""cat was <font color="#FFC000">lying</font> on the floor.<br><br><div style="height: 140px; overflow: auto;">他動詞のla""at was <font color="#FFC000">lying</font> on the floor.<br><br><div style="height: 140px; ove""t was <font color="#FFC000">lying</font> on the floor.<br><br><div style="" was <font color="#FFC000">lying</font> on the floor.<""was <font color="#FFC000">lying</fon""as <font color="#FF""s <"
exercise,練習,"<font color="#FFC000">E</font><font color="#FFC000">xercise</font> improves your heart and lung power.<br><br><div style="height: 140px; overflow: auto;">exerciseは繰り返しする「練習」や定期的な「運動」をいう。practiceはスポーツなどの技能習得のために繰り返す「練習」のことを指す。</div><br><br>類義語 : <br>反意語 : <br>参考 : ""font color="#FFC000">E</font><font color="#FFC000">xercise</font> improves your heart and lung power.<br><br><div style="height: 140px; overflow: auto;">exerciseは繰り返しする「練習」や定期的な「運動」をいう。practiceはスポーツなどの技能習得のために繰り返す「練習」のことを指す。</div><br><br>類義語 : <br>反意語""ont color="#FFC000">E</font><font color="#FFC000">xercise</font> improves your heart and lung power.<br><br><div style="height: 140px; overflow: auto;">exerciseは繰り返しする「練習」や定期的な「運動」をいう。practiceはスポーツなどの技能習得のために繰り返す「練習」のことを指す。</div><br><br>類義""nt color="#FFC000">E</font><font color="#FFC000">xercise</font> improves your heart and lung power.<br><br><div style="height: 140px; overflow: auto;">exerciseは繰り返しする「練習」や定期的な「運動」をいう。practiceはスポーツなどの技能習得のために繰り返す「練習」のことを指す。</div>""t color="#FFC000">E</font><font color="#FFC000">xercise</font> improves your heart and lung power.<br><br><div style="height: 140px; overflow: auto;">exerciseは繰り返しする「練習」や定期的な「運動」をいう。practiceはスポーツなどの技能習得のために繰り返す「練習」のことを"" color="#FFC000">E</font><font color="#FFC000">xercise</font> improves your heart and lung power.<br><br><div style="height: 140px; overflow: auto;">exerciseは繰り返しする「練習」や定期的な「運動」をいう。practiceはスポーツなどの技能習得のために繰り返す""color="#FFC000">E</font><font color="#FFC000">xercise</font> improves your heart and lung power.<br><br><div style="height: 140px; overflow: auto;">exerciseは繰り返しする「練習」や定期的な「運動」をいう。practiceはスポーツなどの技能習得の""olor="#FFC000">E</font><font color="#FFC000">xercise</font> improves your heart and lung power.<br><br><div style="height: 140px; overflow: auto;">exerciseは繰り返しする「練習」や定期的な「運動」をいう。practiceはスポーツなど""lor="#FFC000">E</font><font color="#FFC000">xercise</font> improves your heart and lung power.<br><br><div style="height: 140px; overflow: auto;">exerciseは繰り返しする「練習」や定期的な「運動」をいう。practiceはス""or="#FFC000">E</font><font color="#FFC000">xercise</font> improves your heart and lung power.<br><br><div style="height: 140px; overflow: auto;">exerciseは繰り返しする「練習」や定期的な「運動」をいう。practi""r="#FFC000">E</font><font color="#FFC000">xercise</font> improves your heart and lung power.<br><br><div style="height: 140px; overflow: auto;">exerciseは繰り返しする「練習」や定期的な「運動」をいう。pra""="#FFC000">E</font><font color="#FFC000">xercise</font> improves your heart and lung power.<br><br><div style="height: 140px; overflow: auto;">exerciseは繰り返しする「練習」や定期的な「運動」をいう。p"""#FFC000">E</font><font color="#FFC000">xercise</font> improves your heart and lung power.<br><br><div style="height: 140px; overflow: auto;">exerciseは繰り返しする「練習」や定期的な「運動」をいう。""#FFC000">E</font><font color="#FFC000">xercise</font> improves your heart and lung power.<br><br><div style="height: 140px; overflow: auto;">exerciseは繰り返しする「練習」や定期的な「運動」をいう。""FFC000">E</font><font color="#FFC000">xercise</font> improves your heart and lung power.<br><br><div style="height: 140px; overflow: auto;">exerciseは繰り返しする「練習」や定期的な「""FC000">E</font><font color="#FFC000">xercise</font> improves your heart and lung power.<br><br><div style="height: 140px; overflow: auto;">exerciseは繰り返しする「練習」""C000">E</font><font color="#FFC000">xercise</font> improves your heart and lung power.<br><br><div style="height: 140px; overflow: auto;">exerciseは繰り返しす""000">E</font><font color="#FFC000">xercise</font> improves your heart and lung power.<br><br><div style="height: 140px; overflow: auto;">exerciseは繰""00">E</font><font color="#FFC000">xercise</font> improves your heart and lung power.<br><br><div style="height: 140px; overflow: auto;">exercis""0">E</font><font color="#FFC000">xercise</font> improves your heart and lung power.<br><br><div style="height: 140px; overflow: auto;">exerc""">E</font><font color="#FFC000">xercise</font> improves your heart and lung power.<br><br><div style="height: 140px; overflow: auto;">exer"">E</font><font color="#FFC000">xercise</font> improves your heart and lung power.<br><br><div style="height: 140px; overflow: auto;">exer""E</font><font color="#FFC000">xercise</font> improves your heart and lung power.<br><br><div style="height: 140px; ""</font><font color="#FFC000">xercise</font> improves your heart and lung power.<br><br><div st""/font><font color="#FFC000">xercise</font> improves your heart and lung po""font><font color="#FFC000">xercise</font> improves your""ont><font color="#FFC000">xercise</fo""nt><font color="#FFC""t><f"
fresh,新鮮な,"<font color="#FFC000">fresh</font> apples<br><br><div style="height: 140px; overflow: auto;">「肉」の意味の「flesh」とスペルを混同しやすいので注意。</div><br><br>類義語 : <br>反意語 : <br>参考 : 【名】freshman（新人）""font color="#FFC000">fresh</font> apples<br><br><div style="height: 140px; overflow: auto;">「肉」の意味の「flesh」とスペルを混同しやすいので注意。</div><br><br>類義語 : <br>反意語 : <br>参考 : 【名】""ont color="#FFC000">fresh</font> apples<br><br><div style="height: 140px; overflow: auto;">「肉」の意味の「flesh」とスペルを混同しやすいので注意。</div><br><br>類義語 : <br>反意語 : <""nt color="#FFC000">fresh</font> apples<br><br><div style="height: 140px; overflow: auto;">「肉」の意味の「flesh」とスペルを混同しやすいので注意。</div><br><br>類義語 : <""t color="#FFC000">fresh</font> apples<br><br><div style="height: 140px; overflow: auto;">「肉」の意味の「flesh」とスペルを混同しやすいので注意。</div><br><b"" color="#FFC000">fresh</font> apples<br><br><div style="height: 140px; overflow: auto;">「肉」の意味の「flesh」とスペルを混同しやすいので注意。</di""color="#FFC000">fresh</font> apples<br><br><div style="height: 140px; overflow: auto;">「肉」の意味の「flesh」とスペルを混同しやすいので""olor="#FFC000">fresh</font> apples<br><br><div style="height: 140px; overflow: auto;">「肉」の意味の「flesh」とスペルを混同""lor="#FFC000">fresh</font> apples<br><br><div style="height: 140px; overflow: auto;">「肉」の意味の「flesh」とス""or="#FFC000">fresh</font> apples<br><br><div style="height: 140px; overflow: auto;">「肉」の意味の「fles""r="#FFC000">fresh</font> apples<br><br><div style="height: 140px; overflow: auto;">「肉」の意味の「f""="#FFC000">fresh</font> apples<br><br><div style="height: 140px; overflow: auto;">「肉」の意味の"""#FFC000">fresh</font> apples<br><br><div style="height: 140px; overflow: auto;">「肉」の意味""#FFC000">fresh</font> apples<br><br><div style="height: 140px; overflow: auto;">「肉」の意味""FFC000">fresh</font> apples<br><br><div style="height: 140px; overflow: auto;"""FC000">fresh</font> apples<br><br><div style="height: 140px; overflow: ""C000">fresh</font> apples<br><br><div style="height: 140px; overf""000">fresh</font> apples<br><br><div style="height: 140px; o""00">fresh</font> apples<br><br><div style="height: 140px""0">fresh</font> apples<br><br><div style="height: 140""">fresh</font> apples<br><br><div style="height: 14"">fresh</font> apples<br><br><div style="height: 14""fresh</fon"
