tear up,～を引き裂く，（契約などを）破棄する,"I <u><font color=""#FFC000"">tore</font></u> the letter <u><font color=""#FFC000"">up</font></u> in anger.<br><br><div style=""height: 140px; overflow: auto;"">tearは「引き裂く」などの意味。tear upで「ひきちぎる」「（木などを）根こそぎにする」「（契約などを）破棄する」の意味になる。</div><br><br>類義語 : <br>反意語 : <br>参考 : "
drop in on <人>,～に立ち寄る,"<u><font color=""#FFC000"">Drop in on</font></u> us if it's convenient for you.<br><br><div style=""height: 140px; overflow: auto;"">drop inやdrop byで「ひょいと立ち寄る」の意味。その後の前置詞がonの場合には人を、atの場合には場所を指す。</div><br><br>類義語 : <br>反意語 : <br>参考 : drop in at O&lt;場所&gt;（Oに立ち寄る）"
learn ~ by heart,～を暗記する,"She <u><font color=""#FFC000"">learned</font></u> the poem <u><font color=""#FFC000"">by heart</font></u>.<br><br><div style=""height: 140px; overflow: auto;"">heartは「本質」などの意味をもつことから、「（理解して）記憶する」意味を表す。同様にknow ～　by heartは「（理解して）知っている」の意味。</div><br><br>類義語 : <br>反意語 : <br>参考 : learn by rote（機械的に丸暗記する）"
judging from,～から判断すれば,"<u><font color=""#FFC000"">Judging from</font></u> the look of the sky, it will clear up soon.<br><br><div style=""height: 140px; overflow: auto;"">judge fromで「～から判断する」の意味。judgingのかわりにto judgeも可。</div><br><br>類義語 : if we judge from（～から判断すれば）<br>反意語 : <br>参考 : "
be at a loss,途方に暮れている,"I <u><font color=""#FFC000"">was</font></u> completely <u><font color=""#FFC000"">at a loss</font></u> for an answer.<br><br><div style=""height: 140px; overflow: auto;"">be at a loss [to do/for/with]で「（～するのに/～に/～につまって）途方にくれている」を表す。なお、be lostは「道に迷っている」の意味。</div><br><br>類義語 : <br>反意語 : <br>参考 : "
take ~ into consideration,～を考慮に入れる,"I <u><font color=""#FFC000"">took</font></u> all things <u><font color=""#FFC000"">into consideration</font></u>.<br><br><div style=""height: 140px; overflow: auto;"">considerationは「考慮すべきこと」などの意味。take A into consideration=take into consideration A（Aを考慮に入れる）</div><br><br>類義語 : <br>反意語 : <br>参考 : in consideration of（～を考慮して）"
at the latest,遅くとも,"He is to come here by six <u><font color=""#FFC000"">at the latest</font></u>.<br><br><div style=""height: 140px; overflow: auto;"">latestはlateの最上級で、「最近の」「一番遅い=last」の意味。</div><br><br>類義語 : <br>反意語 : at the earliest（早くとも）<br>参考 : "
tear down,＜建物などを＞取り壊す,"The old house was <u><font color=""#FFC000"">torn down</font></u> at last.<br><br><div style=""height: 140px; overflow: auto;"">tearは「引き裂く」などの意味。tear downは「建物を取り壊す」「機械を分解する」の意味。</div><br><br>類義語 : pull down（取り壊す）<br>反意語 : <br>参考 : "
have an interest in,～に興味を持つ,"I <u><font color=""#FFC000"">have a</font></u> great <u><font color=""#FFC000"">intere</font></u><u><font color=""#FFC000"">s</font></u><u><font color=""#FFC000"">t in</font></u> the new computer system.<br><br><div style=""height: 140px; overflow: auto;"">interestは名詞として「興味」の意味。また他動詞として「興味をそそる」の意味もあるため、受身の形でbe interested in と用いても同じ意味になる。</div><br><br>類義語 : be interested in（～に興味を持つ）<br>反意語 : <br>参考 : "
be opposed to,～に反対している,"They have <u><font color=""#FFC000"">been opposed to</font></u> racial discrimination.<br><br><div style=""height: 140px; overflow: auto;"">他動詞としてのoppose「～に反対する」が受身の形になったもの。</div><br><br>類義語 : be against（～に反対している）<br>反意語 : <br>参考 : "
be through with,～を終えている,"When will you <u><font color=""#FFC000"">be through with</font></u> your homework?<br><br><div style=""height: 140px; overflow: auto;"">be[got] through O（Oを終えて）</div><br><br>類義語 : be finished with（～を終えている）<br>反意語 : <br>参考 : "
develop into,発達して～になる,"The picture of a river <u><font color=""#FFC000"">developed into</font></u> the character meaning ""river"".<br><br><div style=""height: 140px; overflow: auto;"">A blossom develops from a bud .= A bud develops into a blossom.（芽が出て花が咲く）</div><br><br>類義語 : grow into（成長して～になる）<br>反意語 : <br>参考 : "
without fail,必ず,"I expect all of you to be back here <u><font color=""#FFC000"">without fail</font></u>.<br><br><div style=""height: 140px; overflow: auto;"">直訳すると「失敗することなく」であることから、「必ず」の意味となる。命令や約束を強める際に用いる同様の表現として、次のようなものがある。Be sure to do/Don't fail [forget] to do</div><br><br>類義語 : surely（確実に）<br>反意語 : <br>参考 : "
approve of,～に賛成する,"My mother finally <u><font color=""#FFC000"">approved of</font></u> my marriage.<br><br><div style=""height: 140px; overflow: auto;"">「～をよく思う」という意味をもつ。</div><br><br>類義語 : <br>反意語 : disapprove of （～に反対する）<br>参考 : "
excuse A for B,A＜人＞のBを許す,"Please <u><font color=""#FFC000"">excuse</font></u> me <u><font color=""#FFC000"">for</font></u> being late.<br><br><div style=""height: 140px; overflow: auto;"">B&lt;したこと&gt;についてA&lt;人&gt;を許すの意味。Bにはdoingの形も可能。excuse A for doingとexcuse A's doingは同じ意味。excuseはforgiveはよりも軽い過失を弁解によって許すことを表す。</div><br><br>類義語 : forgive A for B（AのBを許す）<br>反意語 : <br>参考 : "
