"follow","〜（の後）に続く\r\n〈指示・方針など〉\r\nに従う","follow her advice\r\n彼女の助言に従う"
"consider","〜を考慮する","consider the problem seriously\r\nその問題を真剣に考える"
"increase","増える；〜を増やす","increase by 20 percent\r\n20%増加する"
"expect","〜を予期する","expect you to arrive soon\r\n君がすぐ来ることを予期する"
"decide","〜することを決意する","decide to tell the truth\r\n真実を語る決意をする"
"develop","発達する;\r\n〜を発達させる","develop a unique ability\r\n特異な能力を発達させる"
"provide","〜を供給する,\r\n与える","provide him with information\r\n彼に情報を与える"
"continue","続く;\r\n（〜を）続ける\r\n（=go on，carry on）","continue to grow fast\r\n急速に成長し続ける"
"include","〜を含む，含める","The list includes his name.\r\nリストは彼の名前を含んでいる"
"remain","〈ある状態の〉\r\nままでいる","remain silent\r\n黙ったままでいる"
"reach","〜に着く\r\n（=arrive at）;\r\n〜に達する","reach the mountain top\r\n山頂に達する"
"allow","〜を許可する","allow him to go out\r\n彼に外出を許可する"
"force","〜を強制する","be forced to leave\r\n立ち退きを強制される"
"offer","〜を申し出る","offer help to the poor\r\n貧しい人に援助を申し出る"
"realize","〜を悟る","realize the error\r\nその間違いを悟る"
"require","〜を必要とする\r\n（=need）","require more attention\r\nもっと注意を必要とする"
"suggest","〜と提案する\r\n〜をほのめかす","suggest a new way\r\n新しいやり方を提案する"
"worry","心配する","worry about money\r\nお金のことを心配する"
"wonder","（+wh/if節）\r\n〜かと疑問に思う","wonder where he has gone\r\n彼はどこに行ったのかと思う"
"cost","〈費用〉を要する","The car cost me $50,000.\r\nその車には5万ドルかかった。"
"tend","（tend to V)\r\nVする傾向がある,\r\nVしがちである\r\n","tend to get angry\r\n腹を立てがちである"
"depend","（depend on A）\r\nAに依存する,\r\nAしだいで決まる","Everything depends on him.\r\nすべては彼しだいだ。"
"share","〜を分け合う,\r\n共有する","share the room with a friend\r\n友人と部屋を共有する"
"demand","〜を要求する","demand more money\r\nさらに金を要求する"
"support","〜を支持する\r\n〈家族など〉を養う\r\n〜を立証する","support the President\r\n大統領を支持する"
"hire","〜を雇う","limit the speed\r\n速度を制限する"
"regard","（regard A as B)\r\nAをBだと思う,\r\nみなす","regard him as a friend\r\n彼を友達とみなす"
"base","(A be based on B)\r\nAがBに\r\n基づいている","This story is based on fact.\r\nこの話は事実に基づいている。"
"improve","〜を向上させる","improve my English ability\r\n英語力を向上させる"
"recognize","〜を認める","recognize the importance\r\n重要性を認める"
"notice","〜に気づく","notice the color change\r\n色彩の変化に気づく"
"suppose","〜だと思う","be supposed to wear a seat belt\r\nシートベルトを締めることになっている"
"raise","〜を上げる\r\n〜を育てる（=bring up)\r\n〈問題など〉を提起する\r\n［名］賃上げ(=pay raise)","raise three children\r\n3人の子供を育てる"
"prefer","〜をより好む","prefer tea to coffee\r\nコーヒーよりお茶を好む"
"enter","〈場所・学校〉\r\nに入る","enter college at fifteen\r\n15歳で大学に入る"
"suffer","〈苦痛・損害など〉\r\nを経験する，受ける;\r\n（病気などで）苦しむ","suffer heavy damage\r\nひどい損害を受ける"
"describe","〜を描写する,\r\n〜の特徴を説明する","describe the lost bag\r\nなくしたバッグの特徴を言う"
"prevent","〜をさまたげる","prevent him from going out\r\n彼が外出するのをさまたげる"
"reduce","〜を減らす","reduce weight\r\n体重を減らす"
"mistake","〜を誤解する,\r\nまちがえる","mistake salt for sugar\r\n塩を砂糖と間違える"
"prepare","（〜の）準備をする\r\n（+for)","prepare a room for a guest\r\n客のために部屋を準備する"
"encourage","〈人を〉はげます","encourage children to read\r\n子供に読書をすすめる"
"prove","〜だとわかる\r\n(=turn out)\r\n〜を証明する","prove to be true\r\n本当だとわかる"
"join","〜に参加する\r\n(=take part in)","join the baseball club\r\n野球部に入る"
"treat","〜をあつかう","treat him like a child\r\n彼を子どものように扱う"
"establish","〜を確立する,\r\n設立する\r\n(=found)","establish a new company\r\n新会社を設立する"
"relate","関係がある","stress-related illness\r\nストレスと関係のある病気"
"compare","〜を比較する\r\n〜をたとえる","compare Japan with China\r\n日本と中国を比較する"
"spread","〜を広げる;\r\n広がる","spread the tablecloth\r\nテーブルクロスを広げる"
"refer","(refer to A)\r\nAを指示する","What does this word refer to?\r\nこの語は何を指示するか"
"supply","〜を供給する","supply the city with water\r\nその都市に水を供給する"
"gain","〜を得る","gain useful knowledge\r\n有益な知識を得る"
"destroy","〜を破壊する","destroy the Berlin Wall\r\nベルリンの壁を破壊する"
"apply","当てはまる\r\n申し込む","apply the rule to every case\r\n全ての場合に規則をあてはめる"
"seek","〜を求める","seek help from the police\r\n警察に助けを求める"
"search","（search for A)\r\nAを捜す","search for the stolen car\r\n盗難車を捜す"
"claim","〜と主張する\r\n〜を（当然の権利\r\nとして）要求する","He claims that he saw a UFO.\r\n彼はUFOを見たと主張する"
